&#xE00D;-见
&#xE020;-何
&#xE02A;-儿
&#xE045;-没
&#xE068;-它
&#xE06A;-面
&#xE074;-民
&#xE079;-打
&#xE084;-论
&#xE0AC;-来
&#xE0AE;-老
&#xE0E3;-两
&#xE102;-到
&#xE11A;-种
&#xE13D;-里
&#xE145;-就
&#xE148;-问
&#xE176;-主
&#xE1B1;-等
&#xE1B5;-可
&#xE1C3;-以
&#xE1C9;-现
&#xE1CA;-气
&#xE1F5;-但
&#xE1F8;-却
&#xE1FE;-笑
&#xE201;-化
&#xE213;-道
&#xE214;-前
&#xE21A;-写
&#xE232;-们
&#xE246;-义
&#xE249;-开
&#xE257;-和
&#xE278;-将
&#xE297;-下
&#xE29A;-名
&#xE300;-明
&#xE329;-有
&#xE33A;-不
&#xE346;-头
&#xE357;-对
&#xE359;-真
&#xE365;-起
&#xE374;-个
&#xE39B;-想
&#xE3AC;-才
&#xE3BB;-西
&#xE3CE;-为
&#xE3DD;-你
&#xE3E4;-并
&#xE3FF;-己
&#xE409;-她
&#xE40B;-三
&#xE412;-一
&#xE418;-进
&#xE419;-二
&#xE4A3;-过
&#xE4CC;-神
&#xE4FB;-听
&#xE508;-特
&#xE514;-小
&#xE520;-性
&#xE53E;-者
&#xE54A;-生
&#xE556;-心
&#xE563;-实
&#xE572;-最
&#xE57F;-时
&#xE589;-多
&#xE59C;-看
&#xE59D;-方
&#xE5C3;-人
&#xE5D2;-如
&#xE5E5;-那
&#xE5E6;-些
&#xE5E9;-于
&#xE5F4;-别
&#xE5FC;-更
&#xE614;-也
&#xE619;-口
&#xE61E;-发
&#xE64A;-很
&#xE64E;-死
&#xE664;-经
&#xE665;-正
&#xE68D;-会
&#xE69E;-了
&#xE6C1;-由
&#xE6D3;-相
&#xE6E5;-文
&#xE704;-他
&#xE716;-第
&#xE71E;-关
&#xE722;-四
&#xE726;-年
&#xE72C;-大
&#xE751;-然
&#xE759;-书
&#xE762;-部
&#xE76D;-理
&#xE774;-走
&#xE77E;-教
&#xE787;-上
&#xE78B;-法
&#xE7B6;-行
&#xE7CD;-思
&#xE7FA;-手
&#xE7FF;-要
&#xE812;-分
&#xE81C;-史
&#xE81F;-情
&#xE825;-而
&#xE82E;-社
&#xE833;-间
&#xE88F;-太
&#xE896;-能
&#xE8A4;-去
&#xE8E2;-因
&#xE937;-身
&#xE93C;-中
&#xE952;-被
&#xE96A;-代
&#xE97E;-此
&#xE9A2;-白
&#xE9CE;-当
&#xE9DB;-样
&#xE9DF;-同
&#xE9FA;-果
&#xEA57;-作
&#xEA94;-公
&#xEABC;-子
&#xEACA;-点
&#xEAE4;-之
&#xEAFC;-高
&#xEB0D;-是
&#xEB25;-感
&#xEB2D;-好
&#xEB49;-都
&#xEB4C;-与
&#xEB5A;-外
&#xEB66;-自
&#xEB7A;-门
&#xEB8C;-回
&#xEB97;-力
&#xEB98;-再
&#xEBBC;-地
&#xEBE0;-国
&#xEBE9;-物
&#xEBFD;-事
&#xEC8A;-我
&#xEC8B;-全
&#xEC9E;-成
&#xECB3;-的
&#xECB7;-只
&#xECC6;-意
&#xECCE;-便
&#xECEE;-定
&#xECFE;-本
&#xED20;-少
&#xED2F;-什
&#xED55;-着
&#xED66;-学
&#xED7D;-已
&#xEDAF;-重
&#xEDB2;-把
&#xEDB9;-使
&#xEDBA;-知
&#xEDBD;-日
&#xEDD1;-先
&#xEDDB;-声
&#xEDF6;-说
&#xEDF8;-用
&#xEE03;-向
&#xEE10;-从
&#xEE18;-出
&#xEE78;-话
&#xEE8F;-无
&#xEEC2;-几
&#xEEC4;-动
&#xEECD;-在
&#xEEE1;-十
&#xEEED;-给
&#xEEEE;-家
&#xEF0D;-长
&#xEF25;-又
&#xEF29;-还
&#xEF31;-得
&#xEF39;-这
&#xEF3A;-么
&#xEF54;-天
&#xEF6D;-眼
&#xEF75;-女
&#xEFB1;-新
&#xEFCA;-后
&#xEFCD;-其
&#xEFDA;-所
&#xEFE2;-美
&#xEFF0;-世
&#xEFFB;-体
