&#xE7B9;-本
&#xE5FF;-作
&#xEA14;-者
&#xE737;-国
&#xEF88;-为
&#xEFDA;-主
&#xE417;-他
&#xE49C;-人
&#xEE25;-口
&#xEFE2;-又
&#xEDB8;-相
&#xE760;-好
&#xE527;-把
&#xE715;-日
&#xE0EF;-前
&#xE07C;-书
&#xE30F;-思
&#xE740;-法
&#xE1AD;-部
&#xE6A4;-向
&#xE3D3;-长
&#xE0D9;-是
&#xE0A0;-于
&#xED49;-也
&#xE443;-重
&#xE173;-它
&#xEB2A;-点
&#xE3C9;-并
&#xE907;-史
&#xE162;-年
&#xE490;-走
&#xEF24;-个
&#xEE73;-那
&#xED23;-成
&#xE796;-代
&#xE43C;-还
&#xE087;-过
&#xE5DB;-外
&#xED65;-多
&#xEE4F;-大
&#xE9CF;-使
&#xE8BC;-想
&#xE58F;-动
&#xE865;-发
&#xE240;-给
&#xE806;-些
&#xE060;-新
&#xE192;-行
&#xE4A1;-与
&#xE664;-来
&#xEE90;-再
&#xE2E9;-头
&#xEABF;-己
&#xE459;-什
&#xE2BD;-体
&#xEC41;-明
&#xE7F4;-但
&#xEDC9;-美
&#xE086;-手
&#xEA2E;-更
&#xE468;-以
&#xE89E;-老
&#xE7C5;-能
&#xE2E6;-教
&#xE347;-身
&#xE426;-家
&#xEDBE;-里
&#xEAA9;-打
&#xEEBE;-得
&#xE76D;-因
&#xEA86;-物
&#xEF84;-别
&#xE5CF;-声
&#xE5AE;-间
&#xE24D;-自
&#xE18E;-很
&#xE051;-事
&#xE0D3;-先
&#xE97B;-道
&#xEA79;-这
&#xEAAD;-二
&#xEA92;-却
&#xE77E;-在
&#xEA8F;-实
&#xEFB3;-然
&#xE279;-便
&#xEE16;-门
&#xE15F;-开
&#xEB62;-化
&#xE65E;-从
&#xE462;-特
&#xEC95;-公
&#xE93A;-死
&#xEEE2;-最
&#xECBA;-太
&#xE51F;-一
&#xE8B1;-方
&#xEF8F;-白
&#xE823;-她
&#xE873;-当
&#xED7F;-如
&#xE849;-社
&#xE58E;-感
&#xE8C5;-此
&#xE05B;-用
&#xE265;-之
&#xE002;-义
&#xE8BF;-你
&#xE3C5;-的
&#xE4D5;-才
&#xEEB4;-四
&#xE594;-面
&#xE2DB;-被
&#xEF04;-论
&#xEE78;-听
&#xE42B;-性
&#xE7EF;-真
&#xE1A9;-着
&#xED36;-样
&#xE44E;-理
&#xE4D6;-全
&#xEB4E;-定
&#xE3F7;-高
&#xE36B;-心
&#xE56B;-同
&#xEEB7;-女
&#xEF35;-已
&#xE21F;-中
&#xE72B;-有
&#xEEE1;-文
&#xE064;-笑
&#xED00;-世
&#xEE41;-了
&#xE951;-看
&#xE2D2;-小
&#xE6E6;-回
&#xEF01;-气
&#xEA2C;-名
&#xE251;-上
&#xE8B5;-知
&#xE0DF;-民
&#xEFF9;-关
&#xE729;-少
&#xE49F;-地
&#xEA30;-就
&#xE6DF;-们
&#xE12E;-都
&#xEE0C;-儿
&#xEF71;-说
&#xE688;-会
&#xEECD;-正
&#xE9FE;-力
&#xE22D;-情
&#xE48A;-要
&#xED98;-神
&#xE2AA;-将
&#xE349;-眼
&#xE9A8;-天
&#xE062;-没
&#xEBB7;-西
&#xE81C;-不
&#xE9FB;-经
&#xEE14;-果
&#xEB9C;-其
&#xEB72;-到
&#xE235;-所
&#xE9D3;-而
&#xE92C;-生
&#xE975;-写
&#xE437;-起
&#xE842;-可
&#xE3B7;-等
&#xECD0;-现
&#xEAB6;-两
&#xE17E;-么
&#xEDDF;-出
&#xE5E5;-几
&#xE84A;-进
&#xE5BD;-三
&#xE687;-十
&#xEF6A;-时
&#xEFB1;-学
&#xE795;-第
&#xE2C9;-见
&#xE078;-下
&#xEFB8;-话
&#xEBF2;-子
&#xEC8C;-对
&#xEDB9;-我
&#xEB40;-分
&#xEA49;-只
&#xEE80;-问
&#xEBCD;-和
&#xE201;-去
&#xE948;-种
&#xEF5A;-何
&#xE5A5;-意
&#xEDCE;-由
&#xE4F1;-后
&#xEB65;-无
