&#xE334;-一
&#xE365;-方
&#xEE1A;-得
&#xE468;-开
&#xEC37;-些
&#xE20E;-情
&#xED26;-同
&#xEB8D;-在
&#xE3C4;-新
&#xEA43;-发
&#xE762;-学
&#xE6BF;-白
&#xE93C;-知
&#xEF12;-写
&#xECA7;-其
&#xE01D;-和
&#xECB0;-然
&#xE130;-种
&#xE79D;-它
&#xEA73;-先
&#xE33A;-她
&#xE75D;-头
&#xEAF4;-也
&#xE019;-正
&#xE4B6;-明
&#xE1C6;-何
&#xE8C6;-国
&#xE4AD;-死
&#xECA9;-有
&#xEDC2;-又
&#xE233;-化
&#xE926;-眼
&#xE8E2;-子
&#xE24B;-此
&#xE0DE;-时
&#xE668;-么
&#xE716;-本
&#xE98D;-着
&#xE4D7;-什
&#xE170;-向
&#xE67F;-笑
&#xE5DB;-西
&#xEBEF;-便
&#xEC82;-间
&#xE748;-话
&#xEB39;-但
&#xE7C7;-神
&#xE094;-十
&#xE427;-女
&#xEAD2;-几
&#xE250;-书
&#xE4E8;-到
&#xE08D;-事
&#xE157;-社
&#xE5D2;-现
&#xEEFD;-果
&#xE71C;-小
&#xE9BE;-走
&#xE87A;-可
&#xED12;-太
&#xE2AA;-问
&#xE24A;-高
&#xE6EF;-才
&#xEDD6;-与
&#xEBBA;-老
&#xE81E;-意
&#xEFA4;-中
&#xEE9F;-上
&#xE578;-声
&#xE56A;-家
&#xE6E2;-公
&#xE02E;-将
&#xEF4D;-力
&#xE2FE;-却
&#xE386;-年
&#xEA0E;-如
&#xE91A;-过
&#xE2EE;-大
&#xE7E0;-者
&#xEE72;-理
&#xE756;-道
&#xE603;-好
&#xE001;-说
&#xE498;-主
&#xEDB6;-儿
&#xE5FE;-心
&#xEBD8;-于
&#xE8F3;-为
&#xEBEE;-更
&#xE8DF;-长
&#xE13C;-前
&#xE5CF;-把
&#xE9FC;-不
&#xE5BC;-关
&#xE2F3;-因
&#xEB86;-之
&#xE6DD;-就
&#xE1D7;-并
&#xED38;-当
&#xE882;-你
&#xE257;-听
&#xEF86;-特
&#xE9A0;-体
&#xEEFE;-两
&#xEE69;-口
&#xEE0C;-作
&#xECD7;-点
&#xE20D;-后
&#xECFE;-成
&#xE00D;-样
&#xE8D1;-下
&#xE5C9;-我
&#xE358;-从
&#xE0FE;-定
&#xE746;-的
&#xE11A;-实
&#xEE15;-代
&#xEF24;-全
&#xED54;-而
&#xE89C;-自
&#xE5D7;-气
&#xE632;-文
&#xEE3D;-使
&#xED86;-给
&#xEED9;-行
&#xEE9B;-打
&#xE4F3;-等
&#xE88B;-民
&#xEDB0;-很
&#xEE95;-回
&#xE94C;-动
&#xE2FD;-那
&#xE0A1;-美
&#xEA4D;-门
&#xE1E4;-看
&#xE447;-法
&#xEA9E;-三
&#xE30F;-对
&#xE5A1;-由
&#xE3D8;-能
&#xEE65;-性
&#xE82E;-义
&#xE97E;-真
&#xE377;-二
&#xEA70;-教
&#xEFF6;-们
&#xE96B;-还
&#xEBF4;-用
&#xEF2B;-经
&#xEACB;-来
&#xEB5B;-无
&#xEB0F;-被
&#xE37C;-里
&#xECB8;-个
&#xE4A8;-物
&#xE55A;-世
&#xE2C7;-进
&#xE942;-他
&#xEA5B;-感
&#xE2B3;-分
&#xEC2D;-重
&#xE3C7;-史
&#xE6B9;-论
&#xEC4D;-起
&#xEC5D;-想
&#xE67B;-以
&#xECB5;-思
&#xE913;-日
&#xE545;-己
&#xE3F7;-部
&#xE598;-多
&#xEF69;-最
&#xED9E;-都
&#xE180;-别
&#xE0E6;-见
&#xEE2F;-少
&#xE7FA;-名
&#xE4D1;-人
&#xE902;-相
&#xEC44;-外
&#xED29;-身
&#xEE20;-已
&#xEA39;-是
&#xEE23;-会
&#xE212;-生
&#xEEF9;-四
&#xEB78;-只
&#xED64;-这
&#xEB7D;-再
&#xE3E0;-了
&#xED18;-天
&#xE938;-没
&#xE6D4;-手
&#xE5B2;-要
&#xEE52;-去
&#xEB66;-出
&#xE1FD;-第
&#xE22F;-地
&#xEF3B;-所
&#xEB2C;-面
