&#xE957;-所
&#xEF61;-特
&#xEE8C;-意
&#xE646;-使
&#xE1A7;-发
&#xE992;-要
&#xE2E8;-知
&#xE169;-点
&#xECB7;-过
&#xEE13;-更
&#xE036;-天
&#xE53E;-书
&#xE1AB;-他
&#xE5B6;-情
&#xEAD5;-别
&#xE09A;-下
&#xEDB8;-儿
&#xE525;-见
&#xE3F5;-民
&#xEC5F;-给
&#xE970;-和
&#xEE11;-头
&#xEB97;-将
&#xE7EB;-新
&#xE5CF;-成
&#xE5A1;-们
&#xE413;-后
&#xED58;-社
&#xED8F;-去
&#xEFDF;-什
&#xEB93;-因
&#xEB27;-与
&#xE3AD;-出
&#xE6AA;-其
&#xE692;-它
&#xE408;-那
&#xE640;-口
&#xE4C2;-一
&#xEBEC;-史
&#xEABD;-此
&#xE005;-么
&#xED06;-在
&#xE047;-体
&#xE3ED;-先
&#xECC3;-地
&#xE3C8;-死
&#xE98A;-把
&#xE522;-中
&#xE968;-看
&#xE554;-太
&#xE81C;-大
&#xE891;-的
&#xE800;-关
&#xEDF7;-性
&#xEB80;-女
&#xE9C3;-写
&#xEB3E;-里
&#xE9D6;-而
&#xE7BD;-你
&#xE1BE;-部
&#xEF48;-如
&#xE1DA;-很
&#xE22A;-被
&#xEC38;-人
&#xE476;-神
&#xECCC;-公
&#xE8D9;-回
&#xE634;-果
&#xE2ED;-最
&#xE204;-以
&#xE0E9;-走
&#xE7FE;-上
&#xE604;-年
&#xE220;-物
&#xE9B0;-由
&#xE872;-正
&#xEB03;-相
&#xE6A7;-事
&#xEAD9;-已
&#xE4DC;-也
&#xE296;-种
&#xEECF;-文
&#xE072;-感
&#xEF46;-听
&#xEE7B;-是
&#xEE3D;-无
&#xE7C2;-多
&#xEABF;-实
&#xE8D6;-行
&#xEC36;-于
&#xED36;-时
&#xEA06;-国
&#xE29A;-小
&#xE16A;-就
&#xE1FF;-但
&#xE136;-作
&#xEECA;-这
&#xE4A6;-美
&#xE3F9;-学
&#xED89;-再
&#xEB4F;-门
&#xE28B;-间
&#xE450;-日
&#xE852;-重
&#xE595;-长
&#xE9B1;-可
&#xE48D;-只
&#xE508;-定
&#xE132;-用
&#xE977;-世
&#xE459;-分
&#xEF9B;-化
&#xE0C9;-了
&#xE0BC;-法
&#xEB09;-打
&#xE84F;-问
&#xE36A;-三
&#xE9A2;-明
&#xE160;-为
&#xEAB9;-真
&#xE4BB;-自
&#xE06E;-外
&#xE8CD;-才
&#xE8BF;-开
&#xED10;-主
&#xE485;-笑
&#xEDD0;-全
&#xE0F1;-能
&#xEED5;-西
&#xEB7C;-两
&#xE2CA;-思
&#xEA4D;-说
&#xEB8A;-有
&#xE4EF;-然
&#xE4D2;-方
&#xE8C5;-教
&#xEEFD;-气
&#xE1E0;-义
&#xE262;-不
&#xEDBF;-手
&#xEC51;-声
&#xE9F0;-想
&#xE7FF;-二
&#xE12A;-己
&#xE1A6;-对
&#xEE64;-心
&#xE988;-从
&#xEF77;-何
&#xEBEF;-理
&#xECA3;-者
&#xE0A2;-论
&#xE3A2;-当
&#xE2AB;-十
&#xE63E;-力
&#xED1E;-又
&#xEAC6;-身
&#xEEFF;-生
&#xE6DF;-进
&#xE455;-高
&#xE926;-第
&#xE098;-之
&#xEB73;-几
&#xE704;-却
&#xE086;-话
&#xE3E7;-白
&#xE1D3;-本
&#xECC1;-会
&#xE927;-我
&#xEA2B;-并
&#xE4D9;-家
&#xEBF8;-还
&#xE1FB;-道
&#xE8BC;-她
&#xE272;-经
&#xEAAF;-些
&#xE87F;-代
&#xEA7C;-到
&#xE6E2;-名
&#xE0B1;-没
&#xEE97;-个
&#xEDA6;-前
&#xE9CE;-都
&#xEFE8;-眼
&#xE31B;-得
&#xE934;-老
&#xEB32;-便
&#xE396;-现
&#xE6D6;-向
&#xEB5E;-子
&#xE8AD;-着
&#xEB81;-动
&#xEA6F;-少
&#xE1D4;-面
&#xE350;-同
&#xE1DB;-样
&#xEA31;-好
&#xE583;-等
&#xE9B5;-来
&#xE431;-四
&#xE0E3;-起
