&#xEA72;-进
&#xEDAD;-他
&#xE7C6;-而
&#xE711;-分
&#xE554;-长
&#xEEF7;-社
&#xE9C4;-正
&#xEBA7;-面
&#xEDF7;-对
&#xE935;-然
&#xE875;-太
&#xE22C;-和
&#xE723;-还
&#xE872;-看
&#xE977;-我
&#xE8C0;-真
&#xED5C;-间
&#xE7A3;-你
&#xEA63;-多
&#xE7F8;-出
&#xE62E;-被
&#xE7EF;-起
&#xE8C5;-着
&#xEA7F;-生
&#xED3D;-却
&#xEBB2;-说
&#xE98B;-的
&#xE44E;-不
&#xEB74;-头
&#xEEB5;-心
&#xEB8E;-者
&#xE12C;-实
&#xEA37;-们
&#xE1BD;-就
&#xE14E;-已
&#xE89A;-再
&#xEA22;-更
&#xE3B2;-种
&#xEE23;-由
&#xEA87;-因
&#xE53A;-只
&#xE2C7;-己
&#xE76B;-又
&#xE2E0;-女
&#xE726;-民
&#xE12F;-国
&#xEDA5;-向
&#xEDB3;-回
&#xEF67;-以
&#xEBB4;-它
&#xEA1C;-没
&#xEB40;-样
&#xEE9D;-第
&#xED7B;-使
&#xEE04;-儿
&#xECBE;-明
&#xE461;-二
&#xEA11;-大
&#xE3F9;-外
&#xE86E;-名
&#xE937;-物
&#xEE50;-世
&#xED5D;-现
&#xEBFB;-用
&#xE0CA;-中
&#xED9E;-何
&#xE80F;-公
&#xE43F;-老
&#xE04C;-要
&#xE612;-到
&#xE5BE;-等
&#xE09A;-主
&#xEB4D;-么
&#xEA2E;-方
&#xEE6A;-她
&#xEB45;-十
&#xE238;-西
&#xEAAB;-教
&#xE6DB;-好
&#xE9A5;-有
&#xE724;-关
&#xE044;-天
&#xEAA5;-行
&#xE03F;-特
&#xEE67;-后
&#xED75;-知
&#xE8DC;-学
&#xE312;-自
&#xE0F2;-得
&#xE2AE;-白
&#xED91;-想
&#xE9B0;-了
&#xEA57;-便
&#xE086;-走
&#xE751;-作
&#xE253;-些
&#xECBD;-才
&#xE4EE;-过
&#xE927;-可
&#xEA73;-给
&#xE83F;-并
&#xE9FA;-少
&#xE174;-在
&#xE1E7;-点
&#xEA78;-上
&#xE510;-把
&#xE227;-问
&#xED35;-几
&#xE8FA;-义
&#xEE82;-会
&#xE422;-写
&#xE35A;-史
&#xEF95;-如
&#xEE62;-道
&#xE574;-三
&#xE4FA;-成
&#xE0C5;-前
&#xE5EA;-之
&#xE684;-高
&#xEAED;-于
&#xE2E3;-思
&#xE212;-去
&#xE16F;-部
&#xE2DC;-年
&#xE783;-美
&#xE2D1;-气
&#xE5CD;-很
&#xE8D9;-力
&#xE80B;-定
&#xEF15;-什
&#xE51C;-下
&#xE1D3;-个
&#xEF5F;-相
&#xE34F;-死
&#xE6A1;-口
&#xEC30;-论
&#xECDD;-来
&#xE92E;-四
&#xEACA;-所
&#xE837;-无
&#xE9FC;-两
&#xEC95;-也
&#xE7D4;-一
&#xE1C9;-人
&#xE6DE;-动
&#xEABD;-听
&#xEA2D;-是
&#xEF38;-理
&#xE5C0;-别
&#xE95F;-话
&#xEC82;-地
&#xE409;-身
&#xE2BE;-当
&#xEFDE;-本
&#xEA97;-最
&#xE37C;-体
&#xE644;-眼
&#xECFF;-化
&#xE417;-新
&#xEB4A;-开
&#xE98F;-果
&#xEE5D;-但
&#xE911;-发
&#xE109;-法
&#xEFE4;-声
&#xE4FF;-打
&#xE4D3;-里
&#xEF9D;-见
&#xE993;-神
&#xEC08;-时
&#xEB24;-从
&#xEA13;-手
&#xE100;-感
&#xE144;-子
&#xE0E2;-与
&#xE546;-情
&#xE709;-代
&#xEB54;-性
&#xEF71;-先
&#xE08E;-文
&#xEBA0;-此
&#xEE3C;-其
&#xE25B;-事
&#xE27B;-小
&#xE858;-同
&#xEE53;-全
&#xE6F2;-日
&#xEC77;-这
&#xEC26;-都
&#xE350;-那
&#xE970;-书
&#xE73E;-为
&#xE982;-重
&#xEA19;-家
&#xE2BB;-能
&#xE438;-将
&#xE23E;-意
&#xEA1D;-经
&#xE1F0;-笑
&#xE2D0;-门
