&#xEFE7;-间
&#xE101;-国
&#xE110;-心
&#xEE1D;-了
&#xE267;-女
&#xEA6C;-你
&#xEF26;-能
&#xEFC1;-这
&#xEF43;-史
&#xEED3;-性
&#xE8D5;-但
&#xE795;-好
&#xEB16;-小
&#xE22F;-也
&#xE4C5;-却
&#xE97A;-还
&#xE47F;-其
&#xE91F;-书
&#xE19D;-种
&#xE6E7;-大
&#xE3F6;-教
&#xE444;-向
&#xE942;-与
&#xE8B0;-以
&#xE8DF;-上
&#xE1F4;-回
&#xE0CA;-过
&#xEE75;-民
&#xE511;-两
&#xEDC8;-四
&#xEF29;-第
&#xEE92;-自
&#xECD3;-二
&#xEC06;-手
&#xEC30;-情
&#xE022;-年
&#xE2A0;-儿
&#xE27C;-见
&#xE9C8;-下
&#xE91D;-论
&#xEA1C;-来
&#xE9AA;-力
&#xE65D;-美
&#xEFF0;-才
&#xE630;-由
&#xEC3D;-等
&#xEAED;-公
&#xE17F;-话
&#xEE98;-到
&#xE271;-死
&#xE614;-并
&#xE12F;-没
&#xE019;-体
&#xE2F8;-那
&#xE69E;-样
&#xEF2D;-问
&#xE5BA;-写
&#xECC9;-此
&#xE693;-成
&#xED9A;-太
&#xEDD4;-事
&#xEE26;-十
&#xEAE9;-物
&#xE7EE;-给
&#xE04A;-然
&#xED33;-最
&#xE6BD;-先
&#xEAB4;-说
&#xEA6B;-时
&#xEDBF;-世
&#xE089;-去
&#xEBFF;-声
&#xEB37;-社
&#xE476;-名
&#xE5FD;-么
&#xE373;-很
&#xEF39;-别
&#xE6FA;-明
&#xEC4B;-作
&#xE8D6;-高
&#xEAC4;-得
&#xEA1B;-可
&#xE9CF;-用
&#xEC8D;-子
&#xE42B;-它
&#xE3E9;-的
&#xE279;-我
&#xE5C7;-被
&#xE389;-家
&#xEEF1;-真
&#xE621;-正
&#xE9E8;-白
&#xEF4B;-同
&#xE12B;-思
&#xE77F;-是
&#xE26F;-发
&#xE981;-想
&#xE692;-果
&#xE88B;-神
&#xE2E3;-所
&#xE307;-一
&#xE4DA;-便
&#xE5AF;-于
&#xE11D;-点
&#xE408;-打
&#xEFC7;-都
&#xE1C2;-什
&#xEEFC;-义
&#xE9D1;-实
&#xE414;-关
&#xE4D5;-学
&#xEC8B;-地
&#xE08B;-重
&#x78"/;-x
&#xEF28;-知
&#xEF94;-定
&#xEBB8;-主
&#xE40B;-着
&#xE0F4;-前
&#xE33F;-为
&#xE445;-从
&#xE62C;-经
&#xE645;-部
&#xE5C2;-个
&#xE81C;-眼
&#xE064;-因
&#xE9C6;-将
&#xE0E7;-听
&#xE161;-更
&#xEEF6;-笑
&#xEC2F;-身
&#xEDE1;-无
&#xE21B;-之
&#xE7D3;-只
&#xE8A7;-他
&#xE446;-化
&#xE6A6;-天
&#xED2C;-多
&#xEBD0;-外
&#xEC47;-行
&#xEADD;-者
&#xE014;-走
&#xE200;-日
&#xE9DF;-她
&#xE487;-有
&#xEED8;-口
&#xE493;-会
&#xE91C;-气
&#xE00F;-道
&#xE85F;-和
&#xE0DA;-开
&#xE9B4;-看
&#xEDF6;-何
&#xE849;-们
&#xE77B;-再
&#xECC0;-法
&#xE26D;-三
&#xEB4D;-些
&#xE3BC;-全
&#xE548;-少
&#xE96C;-己
&#xE1CC;-要
&#xECA7;-又
&#xEB1E;-起
&#xEE06;-理
&#xE147;-方
&#xED78;-中
&#xEF55;-在
&#xEB23;-特
&#xEEF5;-新
&#xE532;-文
&#xE882;-已
&#xEF38;-老
&#xE947;-生
&#xE892;-几
&#xE1B8;-出
&#xE0B5;-门
&#xE4E1;-长
&#xE759;-人
&#xE23F;-当
&#xEE5F;-分
&#xE100;-不
&#xEC77;-本
&#xE4E8;-相
&#xE359;-把
&#xE4FE;-头
&#xE1D5;-面
&#xE957;-使
&#xE5CD;-西
&#xE315;-里
&#xE0A9;-感
&#xE1C0;-意
&#xE47E;-而
&#xEE10;-现
&#xE010;-后
&#xEACF;-如
&#xE229;-对
&#xED1D;-就
&#xE994;-动
&#xEACB;-代
&#xE754;-进
