&#xE55A;-别
&#xEF05;-其
&#xE4F2;-心
&#xEDE9;-理
&#xEA5C;-动
&#xEC25;-从
&#xE6E7;-民
&#xEBDC;-法
&#xE9D6;-因
&#xEECC;-己
&#xE314;-过
&#xE735;-再
&#xEE58;-感
&#xECF1;-二
&#xE458;-几
&#xE7CF;-代
&#xEF17;-本
&#xE0EA;-还
&#xE0E3;-果
&#xE3B3;-在
&#xE102;-成
&#xE959;-没
&#xE092;-明
&#xE148;-世
&#xE6E8;-已
&#xE090;-打
&#xE4A8;-何
&#xE943;-人
&#xE94D;-思
&#xE59C;-门
&#xE096;-出
&#xED59;-见
&#xEBC9;-此
&#xE2D3;-力
&#xEB5E;-不
&#xE6EB;-十
&#xED86;-真
&#xE562;-最
&#xE862;-公
&#xEE09;-声
&#xEC5B;-样
&#xE28C;-长
&#xE624;-写
&#xE1B9;-便
&#xE88D;-四
&#xE86B;-神
&#xEC06;-于
&#xEA27;-要
&#xED72;-们
&#xE043;-经
&#xE11B;-义
&#xE1B0;-面
&#xE18B;-两
&#xEEE2;-种
&#xEBFF;-新
&#xE600;-能
&#xEB2F;-并
&#xE2D8;-家
&#xE952;-女
&#xE258;-老
&#xEF0C;-却
&#xEE77;-中
&#xEBF4;-情
&#xE487;-她
&#xE014;-都
&#xE0B0;-正
&#xE84D;-高
&#xE8AD;-气
&#xED5D;-使
&#xE667;-教
&#xE1DA;-子
&#xE849;-将
&#xEA7D;-外
&#xE063;-以
&#xE31B;-后
&#xE865;-回
&#xE2CB;-定
&#xE70D;-然
&#xE4A7;-问
&#xE5BF;-被
&#xE1AE;-些
&#xEA8B;-手
&#xEB44;-间
&#xE6BC;-知
&#xEBD6;-白
&#xE345;-但
&#xEC23;-文
&#xE9F4;-听
&#xEC18;-什
&#xE3F6;-会
&#xE636;-三
&#xE794;-着
&#xE3F4;-你
&#xEAA0;-先
&#xE7F3;-它
&#xE96A;-么
&#xEBA0;-我
&#xE323;-而
&#xE320;-想
&#xE556;-等
&#xE9EB;-全
&#xE5C2;-只
&#xEAC9;-主
&#xE036;-用
&#xE49B;-儿
&#xE9EF;-性
&#xE558;-体
&#xE8E3;-一
&#xE41D;-笑
&#xE91C;-行
&#xE855;-自
&#xE002;-地
&#xEDBF;-名
&#xE22A;-开
&#xE23D;-他
&#xE78C;-美
&#xE88F;-这
&#xEDF4;-进
&#xEB68;-实
&#xEDDF;-年
&#xEAC7;-无
&#x78"/;-x
&#xE0B4;-日
&#xE6C0;-起
&#xEB2C;-天
&#xEA85;-史
&#xECD8;-来
&#xE299;-下
&#xE8FE;-太
&#xEEAB;-大
&#xED60;-国
&#xEA4A;-当
&#xE081;-同
&#xE42A;-给
&#xE0C9;-上
&#xED6C;-对
&#xEBAC;-相
&#xE13C;-到
&#xE850;-少
&#xE56F;-多
&#xECE1;-小
&#xE898;-口
&#xED37;-和
&#xE8C4;-死
&#xE5CB;-特
&#xE52E;-又
&#xEC08;-把
&#xE1A6;-物
&#xED4E;-与
&#xE41C;-了
&#xE0D7;-个
&#xEA86;-所
&#xED82;-为
&#xEA83;-很
&#xED97;-有
&#xE125;-头
&#xE1F5;-那
&#xE7A6;-书
&#xE31C;-得
&#xE516;-就
&#xE178;-如
&#xEE33;-向
&#xE2AB;-是
&#xE5F8;-现
&#xE89C;-部
&#xE922;-意
&#xE94E;-可
&#xE6D4;-好
&#xED56;-西
&#xE4A9;-也
&#xEAD3;-点
&#xE42C;-生
&#xED69;-说
&#xEB51;-社
&#xE379;-由
&#xEDAF;-关
&#xE3AD;-话
&#xE835;-更
&#xE57D;-者
&#xED77;-身
&#xE534;-走
&#xE4C5;-重
&#xED98;-去
&#xEA21;-论
&#xE504;-作
&#xE508;-事
&#xE703;-前
&#xE01C;-之
&#xECF4;-分
&#xEA64;-化
&#xE041;-方
&#xE8EB;-眼
&#xED94;-道
&#xE9EC;-第
&#xE907;-看
&#xE30A;-才
&#xE97E;-发
&#xEF92;-时
&#xE1EC;-里
&#xE6DB;-的
&#xE196;-学
