&#xEC04;-好
&#xE7B6;-力
&#xE954;-论
&#xEFCD;-手
&#xE08E;-两
&#xE1A4;-从
&#xE095;-道
&#xE697;-头
&#xE9F2;-特
&#xE1CC;-便
&#xEFC4;-话
&#xE5EB;-了
&#xED66;-法
&#xE1C8;-由
&#xEE53;-儿
&#xE542;-无
&#xECEA;-个
&#xEE3F;-体
&#xEE69;-如
&#xE9A9;-美
&#xE1B5;-全
&#xEE2D;-再
&#xE4AA;-却
&#xEFD5;-后
&#xE175;-为
&#xE7CB;-实
&#xEF11;-起
&#xE53D;-会
&#xE9E7;-又
&#xE28C;-书
&#xE56A;-些
&#xE771;-气
&#xE210;-西
&#xE79F;-把
&#xE8E5;-时
&#xEF9E;-而
&#xED29;-三
&#xEF67;-们
&#xEAA8;-老
&#xEA0F;-世
&#xEBB0;-子
&#xE555;-物
&#xE92C;-它
&#xED6E;-以
&#xE307;-去
&#xE61A;-明
&#xE4A9;-等
&#xEE05;-最
&#xE898;-小
&#xE897;-来
&#xE0EB;-年
&#xE4C6;-十
&#xEE49;-要
&#xE65E;-就
&#xE246;-走
&#xE9B7;-所
&#xE92B;-进
&#xEA12;-向
&#xEBE4;-定
&#xEA5B;-里
&#xEA92;-在
&#xE879;-名
&#xEF5D;-外
&#xE461;-着
&#xE8D4;-回
&#xEF82;-你
&#xE78A;-生
&#xE1EE;-更
&#xEA15;-女
&#xECBB;-用
&#xE64B;-第
&#xE309;-果
&#xEB58;-到
&#xE7C1;-身
&#xE407;-知
&#xEFD2;-新
&#xE9E3;-那
&#xE52A;-下
&#xEF04;-上
&#xE3FA;-于
&#xE188;-想
&#xE3CE;-一
&#xEB52;-方
&#xEE89;-此
&#xE4FA;-日
&#xED14;-间
&#xE0AB;-样
&#xE446;-种
&#x78"/;-x
&#xEABF;-没
&#xE580;-死
&#xE7F1;-还
&#xE121;-四
&#xE350;-见
&#xE8BC;-前
&#xECD1;-何
&#xEC11;-对
&#xE962;-神
&#xE45A;-发
&#xEAA9;-教
&#xED60;-当
&#xE299;-家
&#xE440;-给
&#xEB7B;-说
&#xEC4A;-部
&#xEBBB;-国
&#xE73E;-白
&#xED35;-他
&#xE322;-代
&#xE71C;-太
&#xEBDC;-她
&#xE0FF;-大
&#xE0EA;-长
&#xE41F;-现
&#xE890;-高
&#xEDF2;-义
&#xEA5D;-将
&#xEA18;-很
&#xE59F;-听
&#xED49;-问
&#xE78F;-己
&#xE2F4;-眼
&#xE486;-可
&#xEF1C;-使
&#xE43D;-经
&#xE9B3;-作
&#xE5E6;-多
&#xE655;-面
&#xED0F;-别
&#xEE64;-这
&#xEC51;-点
&#xE2FD;-我
&#xE76E;-文
&#xE16F;-感
&#xE986;-心
&#xE50F;-几
&#xEBAB;-事
&#xE11B;-有
&#xEF7A;-开
&#xEC44;-中
&#xE7E3;-打
&#xEF54;-么
&#xE027;-意
&#xEF0B;-写
&#xECA2;-只
&#xE53F;-门
&#xE157;-因
&#xE1DA;-关
&#xE1A2;-动
&#xE32A;-其
&#xE47A;-能
&#xE9B2;-口
&#xE239;-同
&#xEFE9;-民
&#xEC62;-然
&#xE24F;-是
&#xE2AA;-并
&#xEE0C;-行
&#xE02B;-史
&#xE053;-成
&#xE903;-社
&#xEA32;-分
&#xEDA6;-已
&#xE6B2;-者
&#xE5CA;-本
&#xE06F;-但
&#xE42E;-正
&#xEDD3;-思
&#xEE90;-都
&#xE07E;-笑
&#xEEC1;-看
&#xE673;-声
&#xE5D6;-情
&#xE0AC;-真
&#xE968;-与
&#xEDB2;-过
&#xEF9F;-二
&#xE93C;-少
&#xE819;-之
&#xE6CA;-也
&#xEC36;-公
&#xE2CE;-学
&#xE632;-才
&#xE8EC;-不
&#xE7F6;-什
&#xE123;-相
&#xE621;-重
&#xE5D5;-地
&#xE015;-化
&#xE850;-性
&#xECBF;-人
&#xE3C5;-的
&#xEE5C;-得
&#xE5C0;-理
&#xE0C7;-和
&#xEDD2;-先
&#xEF88;-出
&#xE973;-主
&#xE302;-自
&#xEA80;-天
&#xE48F;-被
