&#xE5C5;-本
&#xECF2;-可
&#xE649;-你
&#xE80E;-是
&#xEF5D;-出
&#xE6F0;-和
&#xEAD0;-白
&#xE636;-什
&#xEAA1;-笑
&#xEB38;-向
&#xE949;-好
&#xEFF2;-最
&#xEDA2;-将
&#xE951;-因
&#xE22A;-关
&#xEAD5;-它
&#xEA85;-道
&#xE450;-然
&#xE41C;-得
&#xE41A;-身
&#xE5CD;-话
&#xEAD7;-把
&#xE0E9;-多
&#xEAD3;-意
&#xE1D3;-们
&#xE826;-口
&#xE47A;-当
&#xEE8A;-民
&#xEE07;-里
&#xE7E7;-此
&#xECCE;-第
&#xE436;-中
&#xE70B;-从
&#xED49;-现
&#xE5D1;-使
&#xE492;-便
&#xE551;-也
&#xE9E9;-前
&#xE9ED;-心
&#xE88B;-他
&#xED68;-天
&#xEDD0;-有
&#xEA40;-眼
&#xE834;-很
&#xE689;-公
&#xE026;-部
&#xE185;-小
&#xE88C;-两
&#xE3A9;-在
&#xEC70;-已
&#xE780;-于
&#xE277;-体
&#xE9C5;-看
&#xE897;-动
&#xEE81;-以
&#xE1DB;-要
&#xEFBF;-年
&#xE58D;-去
&#xEF5C;-上
&#xE82F;-思
&#xEACE;-新
&#xED45;-用
&#xE7E9;-间
&#xE3D9;-地
&#xE503;-者
&#xE35E;-其
&#xE9E6;-定
&#xEA98;-世
&#xE0E2;-大
&#xE02E;-无
&#xEEF1;-外
&#xE8FC;-化
&#xE409;-书
&#x78"/;-x
&#xE995;-成
&#xE295;-声
&#xEBA0;-日
&#xE3CF;-进
&#xE952;-所
&#xEB71;-气
&#xEF56;-打
&#xE4DD;-的
&#xE654;-主
&#xEE13;-死
&#xE338;-教
&#xE0A1;-理
&#xE83A;-些
&#xE83F;-代
&#xE405;-国
&#xE02B;-对
&#xEAA4;-都
&#xE321;-被
&#xEF6F;-学
&#xEE92;-见
&#xE4A8;-却
&#xE3C3;-何
&#xECAE;-后
&#xEF70;-头
&#xEFAC;-面
&#xEA5B;-正
&#xE188;-才
&#xEF61;-这
&#xE678;-并
&#xEDA0;-美
&#xE4C3;-二
&#xE69E;-老
&#xE5C3;-会
&#xE78D;-先
&#xE9F4;-样
&#xEBDE;-神
&#xE8A2;-等
&#xE84E;-给
&#xE758;-少
&#xE8BF;-性
&#xE946;-自
&#xEDEA;-家
&#xED00;-太
&#xEC17;-特
&#xE813;-听
&#xE4B2;-行
&#xEE73;-想
&#xE8AC;-别
&#xEB55;-还
&#xEF8F;-写
&#xEFCE;-物
&#xE650;-手
&#xED85;-生
&#xE377;-义
&#xE1D4;-她
&#xE056;-文
&#xED79;-但
&#xE4D8;-事
&#xEB06;-名
&#xE017;-感
&#xE21D;-全
&#xED36;-不
&#xE378;-又
&#xEE7C;-十
&#xECEA;-时
&#xEC37;-四
&#xEA2C;-己
&#xE6DA;-回
&#xEAA8;-我
&#xEA32;-为
&#xE16C;-法
&#xE1E9;-重
&#xE9CE;-儿
&#xE839;-开
&#xED13;-到
&#xE853;-个
&#xE577;-一
&#xEEA9;-史
&#xED47;-实
&#xEB78;-几
&#xE9C9;-西
&#xE962;-门
&#xEBAF;-就
&#xEEAB;-那
&#xE366;-如
&#xEA17;-与
&#xE999;-种
&#xEFEF;-点
&#xE9CF;-经
&#xEE1C;-之
&#xE88A;-再
&#xEF74;-果
&#xEFAB;-论
&#xEA7A;-而
&#xED8D;-么
&#xE84A;-着
&#xE5FA;-真
&#xE9B7;-分
&#xEDB8;-情
&#xE4E9;-只
&#xE6A7;-走
&#xE3D8;-作
&#xE96E;-由
&#xE022;-相
&#xE0BF;-社
&#xE46C;-过
&#xE477;-长
&#xE040;-同
&#xE0E7;-下
&#xE4BB;-明
&#xEDB9;-来
&#xEF46;-力
&#xE25F;-起
&#xE2FD;-能
&#xEA70;-人
&#xE434;-知
&#xE778;-没
&#xEE87;-女
&#xEC41;-了
&#xED82;-高
&#xE965;-问
&#xE0B1;-三
&#xEE8D;-方
&#xEC7F;-说
&#xEAAE;-发
&#xE766;-更
&#xE83B;-子
