&#xEE1C;-国
&#xE3FF;-很
&#xE4CA;-地
&#xEF98;-把
&#xEC08;-对
&#xE90D;-道
&#xE438;-情
&#xEE06;-声
&#xE517;-的
&#xE04D;-何
&#xEC3F;-更
&#xED38;-后
&#xE6F8;-两
&#xE1DC;-可
&#xEE8B;-有
&#xE080;-别
&#xEA57;-才
&#xECB6;-发
&#xE1F5;-话
&#xEBFA;-样
&#xE91F;-从
&#xE850;-给
&#xE9E7;-却
&#xEC95;-都
&#xE876;-法
&#xED47;-动
&#xE158;-间
&#xE498;-以
&#xE516;-口
&#xE63A;-生
&#xE20D;-教
&#xEED2;-而
&#xE010;-论
&#xEEDD;-想
&#xE118;-些
&#xE13A;-还
&#xE036;-家
&#xE4F6;-儿
&#xE71E;-此
&#xE5FA;-心
&#xE8E7;-将
&#xE149;-本
&#xEE21;-者
&#xE7B1;-方
&#xE919;-少
&#xE2ED;-性
&#xE113;-所
&#xE86C;-学
&#xE186;-正
&#xE0C0;-被
&#xE6E5;-听
&#xE6AF;-经
&#xEFC0;-现
&#xECD0;-体
&#xEDB6;-眼
&#xE543;-主
&#xE01D;-用
&#xEEB3;-时
&#xE9CB;-笑
&#xE093;-便
&#xECDD;-也
&#xE14B;-义
&#xEA76;-是
&#xEC5D;-个
&#xEA36;-史
&#xE042;-西
&#xE1F2;-能
&#xEC89;-什
&#xECD3;-民
&#xEB2A;-最
&#xE75E;-走
&#xE7C4;-它
&#xE8D1;-她
&#xE197;-长
&#xEC39;-特
&#xE11C;-死
&#xEDFA;-下
&#xEB0D;-真
&#xE0F5;-意
&#xE3D9;-前
&#xE25C;-己
&#xE269;-行
&#xEA15;-果
&#xEA13;-定
&#xEF18;-物
&#xE292;-自
&#xEC7A;-他
&#xE97D;-头
&#xE39E;-作
&#xE6E9;-名
&#xE165;-并
&#xE30A;-书
&#xE055;-公
&#xE6E0;-先
&#xE162;-然
&#xE5AE;-手
&#xED24;-外
&#xE845;-二
&#xE223;-说
&#xECD2;-着
&#xE352;-老
&#xE399;-重
&#xE4D2;-你
&#xE534;-明
&#xE9BF;-成
&#xEF35;-一
&#xE8BC;-知
&#xEFA3;-白
&#xE01E;-使
&#xE827;-第
&#xEA09;-去
&#xECB4;-们
&#xE386;-同
&#xE84F;-只
&#xE0D9;-又
&#xEDCE;-天
&#xE46D;-年
&#xE191;-部
&#xE828;-要
&#xE773;-因
&#xE013;-分
&#xE6DF;-女
&#xE9CE;-就
&#xE891;-进
&#xECD7;-为
&#xED41;-我
&#xE56B;-几
&#xE5EF;-气
&#xE23F;-太
&#xEBB9;-新
&#xE1DE;-神
&#xE902;-但
&#xE460;-由
&#xEC94;-写
&#xE0D0;-那
&#xE21C;-向
&#xE869;-看
&#xEB9C;-中
&#xE105;-四
&#xEE9D;-见
&#xEA23;-其
&#xEFAF;-之
&#xE034;-人
&#xE466;-代
&#xE0D8;-十
&#xEB38;-社
&#xED77;-么
&#xE57B;-美
&#xEB76;-与
&#xEB8E;-相
&#xE58A;-思
&#xECED;-点
&#xE99B;-三
&#xE3CA;-了
&#xE310;-出
&#xE5CB;-实
&#xE798;-再
&#xE699;-得
&#xE7A8;-过
&#xECC3;-世
&#xE7EF;-会
&#xECE6;-打
&#xE52B;-开
&#xE675;-不
&#x78"/;-x
&#xEE3A;-关
&#xE6EE;-小
&#xE403;-子
&#xE43A;-面
&#xEFF8;-上
&#xEEEA;-来
&#xE008;-如
&#xE70A;-多
&#xE075;-起
&#xE633;-回
&#xE407;-大
&#xE0C6;-事
&#xE3DE;-门
&#xE3B4;-到
&#xE1F7;-文
&#xE5DD;-身
&#xE02A;-高
&#xEB49;-化
&#xEF5C;-没
&#xE3A1;-问
&#xE1CB;-种
&#xE322;-于
&#xEC56;-当
&#xE947;-等
&#xEF99;-全
&#xE276;-好
&#xE9F6;-无
&#xEC3A;-感
&#xE62A;-力
&#xE58D;-这
&#xE4F0;-和
&#xE5FC;-里
&#xEAB6;-日
&#xE8EA;-已
&#xECA2;-理
&#xED87;-在
