&#xEF44;-走
&#xE6CB;-心
&#xED72;-高
&#xED0D;-那
&#xE1A6;-我
&#xE045;-行
&#xEEE9;-得
&#xE826;-长
&#xE07C;-果
&#xE47E;-法
&#xE5C2;-世
&#xE6C9;-见
&#xEB3D;-囗
&#xE20C;-二
&#xE880;-情
&#xE55C;-被
&#xEA33;-间
&#xEB94;-么
&#xE148;-分
&#xE590;-门
&#xE08A;-气
&#xE40F;-日
&#xE7E6;-什
&#xE52A;-在
&#xE36B;-了
&#xE3E5;-全
&#xE7B5;-年
&#xE34D;-好
&#xE41E;-写
&#xE124;-第
&#xEDEC;-它
&#xE8BC;-面
&#xECD3;-正
&#xE65E;-中
&#xE52C;-部
&#xEF48;-声
&#xE2B6;-来
&#xE629;-个
&#xEC1B;-话
&#xE415;-后
&#xEBB5;-也
&#xEB0C;-多
&#xEE5C;-无
&#xE3DE;-用
&#xEC83;-向
&#xEA57;-少
&#xEF9E;-其
&#xEE08;-小
&#xE91C;-们
&#xE4DB;-样
&#xE1DE;-并
&#xE304;-地
&#xE381;-可
&#xE9AD;-而
&#xEFED;-再
&#xE804;-白
&#xE17C;-将
&#xE420;-上
&#xE096;-会
&#xE6E9;-相
&#xE03B;-有
&#xE02E;-使
&#xEAF4;-大
&#xE16A;-实
&#xECBC;-身
&#xE702;-新
&#xEF37;-教
&#xE355;-起
&#xEB1D;-义
&#xEBEC;-书
&#xE6AE;-点
&#xE3AD;-自
&#xEE29;-西
&#xE246;-又
&#xE93F;-很
&#xE484;-动
&#xE8E9;-没
&#xE81B;-理
&#xE86B;-还
&#xEF1C;-因
&#xE717;-下
&#xE1B2;-神
&#xEF78;-才
&#xE531;-对
&#xEC65;-她
&#xE736;-只
&#xECD9;-以
&#xE4DC;-过
&#xEB85;-头
&#xE808;-现
&#xE4DD;-十
&#xE29F;-国
&#xEE7D;-出
&#xEC93;-本
&#xEDD3;-成
&#xE057;-和
&#xE0D7;-此
&#xEF5D;-之
&#xED2B;-己
&#xE59F;-打
&#xEEC6;-史
&#xE985;-社
&#xEEB4;-感
&#xE3C1;-物
&#xE4F4;-里
&#xEDF8;-先
&#xEF3B;-女
&#xE34A;-一
&#xEF8D;-关
&#xE77C;-不
&#xECAB;-主
&#xEB6D;-问
&#xED2D;-于
&#xE48C;-代
&#xEBE1;-你
&#xE83D;-说
&#xE4D8;-去
&#xE0BB;-论
&#xEE97;-到
&#xED25;-他
&#xE2AB;-进
&#xE7DA;-生
&#xE741;-定
&#xEF00;-与
&#xE2B2;-已
&#xE0E5;-就
&#xE4E7;-重
&#xEE22;-外
&#xE618;-何
&#xE48E;-美
&#xEA38;-时
&#xEF71;-化
&#x78"/;-x
&#xE221;-知
&#xE7A3;-是
&#xEF6B;-能
&#xE5DC;-四
&#xEB15;-经
&#xEF16;-便
&#xE410;-把
&#xEBA1;-学
&#xEF79;-然
&#xE1F3;-回
&#xEC32;-天
&#xE8FF;-名
&#xE12C;-眼
&#xE458;-当
&#xED6C;-力
&#xEA2C;-发
&#xEC5D;-开
&#xE5E6;-从
&#xE694;-但
&#xEB11;-听
&#xE2D7;-所
&#xE360;-给
&#xE457;-性
&#xEE85;-更
&#xE983;-这
&#xE388;-真
&#xE00C;-如
&#xEF0F;-两
&#xE507;-前
&#xED09;-意
&#xECA0;-些
&#xEB71;-者
&#xE6F6;-同
&#xE022;-体
&#xE988;-几
&#xE4E5;-手
&#xECEF;-为
&#xE401;-家
&#xEDD9;-三
&#xE023;-都
&#xEAA2;-公
&#xE178;-别
&#xEBBF;-思
&#xEB78;-笑
&#xE191;-却
&#xEE5B;-看
&#xE1A4;-最
&#xEB57;-由
&#xE53D;-要
&#xE089;-民
&#xE819;-种
&#xE64D;-想
&#xE289;-人
&#xEC72;-死
&#xE818;-等
&#xE0F4;-特
&#xE5A3;-道
&#xEA52;-作
&#xE4E4;-太
&#xE2A5;-事
&#xEDFF;-着
&#xE1D8;-老
&#xEDB5;-文
&#xEC29;-方
&#xE01F;-明
&#xE8BE;-子
&#xEC52;-的
&#xEF53;-儿
