&#xE334;-家
&#xE917;-将
&#xE1BA;-死
&#xE77B;-回
&#xE2D5;-就
&#xE3C9;-可
&#xE745;-想
&#xE2B8;-美
&#xE768;-得
&#xEF10;-其
&#xE790;-还
&#xE38D;-使
&#xEC16;-以
&#xEA27;-这
&#xEC1D;-才
&#xEAD4;-们
&#xE393;-样
&#xE7C3;-有
&#xEEDB;-只
&#xE523;-白
&#xED73;-多
&#xE0ED;-会
&#xE139;-为
&#xE9C4;-学
&#xECAA;-生
&#xE827;-来
&#xEBC2;-部
&#xEE9E;-天
&#xE7BF;-时
&#xEEC5;-力
&#xEA62;-上
&#xE22C;-民
&#xE2A9;-把
&#xEA56;-等
&#xED54;-门
&#xE0AB;-三
&#xE1CF;-方
&#xE2A4;-主
&#xEC7D;-却
&#xE30C;-世
&#xE399;-里
&#xE1F8;-几
&#xED10;-用
&#xE2D8;-此
&#xE406;-现
&#xEE6C;-长
&#xE4F2;-书
&#xE1BE;-理
&#xE7D4;-地
&#xE14A;-要
&#xE4C8;-四
&#xEA61;-走
&#xED39;-到
&#xEDF9;-最
&#xE5EA;-名
&#xEE8F;-情
&#xE8E5;-头
&#xE27C;-能
&#xEF4D;-好
&#xE4C9;-子
&#xEFDE;-儿
&#xE76A;-囗
&#xE418;-见
&#xEDC0;-二
&#xE5D2;-着
&#xEDDD;-过
&#xEE58;-动
&#xEE15;-与
&#xE4BD;-体
&#xE2CF;-点
&#xE882;-后
&#xE0E6;-面
&#xE003;-当
&#xECD8;-外
&#xE3DE;-己
&#xEAD7;-知
&#xECD4;-身
&#xEAF5;-分
&#xE14F;-作
&#xEDF2;-社
&#xEED5;-而
&#xEA49;-意
&#xE394;-物
&#xE485;-无
&#x78"/;-x
&#xED42;-别
&#xEBA3;-他
&#xE065;-么
&#xED5D;-更
&#xEB43;-打
&#xE6B1;-对
&#xE141;-也
&#xE102;-和
&#xE861;-眼
&#xEE8A;-笑
&#xEFEE;-第
&#xEB9E;-是
&#xE4C6;-论
&#xE8BC;-前
&#xE3DC;-道
&#xE0B6;-听
&#xEF40;-出
&#xEF32;-很
&#xE7E9;-本
&#xEB67;-全
&#xEDD3;-太
&#xEC03;-一
&#xE460;-气
&#xEC61;-我
&#xE1DF;-重
&#xE6E1;-了
&#xE2CC;-教
&#xEE7C;-者
&#xECF6;-女
&#xEDBA;-正
&#xE8C4;-法
&#xED26;-成
&#xEACA;-人
&#xE295;-关
&#xEAE3;-它
&#xEB06;-西
&#xED51;-都
&#xEBE4;-小
&#xE803;-但
&#xE6B9;-十
&#xEB35;-什
&#xED12;-给
&#xED82;-问
&#xECCA;-不
&#xEC0C;-间
&#xE249;-的
&#xE2C5;-心
&#xE98D;-说
&#xED0B;-义
&#xEA25;-国
&#xED7D;-性
&#xECCB;-写
&#xE901;-行
&#xEF83;-两
&#xE983;-已
&#xE0CA;-又
&#xE06D;-特
&#xEC2E;-自
&#xE155;-向
&#xEC2F;-明
&#xE4E8;-那
&#xE2AF;-她
&#xE2C7;-于
&#xEB1B;-公
&#xE133;-种
&#xE0EB;-年
&#xEC84;-神
&#xEE29;-些
&#xED0A;-高
&#xE25F;-并
&#xE8F8;-史
&#xED0C;-在
&#xE37C;-然
&#xE67A;-话
&#xE115;-再
&#xE2D7;-开
&#xE303;-先
&#xEEB0;-化
&#xE702;-少
&#xE232;-没
&#xEFED;-文
&#xEEDC;-中
&#xEBC1;-你
&#xE6A6;-便
&#xE34B;-个
&#xEFE8;-果
&#xEF09;-所
&#xE2A2;-新
&#xEB08;-进
&#xEB85;-相
&#xE851;-定
&#xE18E;-发
&#xEB69;-真
&#xE1A2;-思
&#xEDDB;-大
&#xE951;-感
&#xEF3E;-去
&#xEE23;-之
&#xEBCC;-经
&#xEDB4;-事
&#xED5B;-日
&#xEB0D;-看
&#xEA53;-如
&#xEB94;-从
&#xEF78;-由
&#xE3FC;-声
&#xEC87;-代
&#xE7C9;-下
&#xE3D9;-何
&#xEC2D;-实
&#xE00E;-同
&#xE24A;-老
&#xED4B;-手
&#xE7E3;-因
&#xE2E4;-起
&#xEB3A;-被
