&#xE520;-而
&#xE1A7;-被
&#xE322;-点
&#xEC78;-都
&#xE9AF;-方
&#xE762;-写
&#xE5BE;-那
&#xE8B1;-来
&#xED13;-便
&#xE574;-新
&#xE9C5;-高
&#xE812;-论
&#xE3CF;-前
&#xECDE;-二
&#xE428;-别
&#xEE16;-说
&#xE2F8;-生
&#xE7CC;-并
&#xE7E2;-出
&#xEF4E;-年
&#xE204;-发
&#xEF66;-为
&#xE197;-再
&#xED64;-意
&#xE44A;-后
&#xE950;-正
&#xE683;-世
&#xEFA8;-全
&#xE972;-向
&#xE38C;-理
&#xE866;-同
&#xE597;-史
&#xE937;-大
&#xECCE;-现
&#xE472;-感
&#xE537;-已
&#xE603;-你
&#xE869;-于
&#xEE35;-用
&#xE55E;-好
&#xEA23;-社
&#xE24D;-是
&#xED5A;-太
&#xE31A;-见
&#xED95;-更
&#xE1FB;-教
&#xE39D;-种
&#xE411;-思
&#xEE45;-如
&#xE2A2;-里
&#xE820;-动
&#xEDCA;-气
&#xEEBE;-神
&#xE681;-很
&#xECBC;-因
&#xEB1D;-书
&#xE007;-物
&#xE887;-问
&#xE164;-我
&#xEF77;-不
&#xE6B3;-开
&#xE514;-时
&#xEF62;-进
&#xE652;-笑
&#xE815;-才
&#xEF89;-代
&#xEBCC;-定
&#xE592;-话
&#xE14A;-行
&#xE54A;-把
&#xE502;-着
&#xE16E;-这
&#xE28C;-无
&#xE667;-个
&#xE4B2;-也
&#xE3FF;-使
&#xEBD3;-下
&#xE3ED;-多
&#xE772;-美
&#xE69C;-知
&#xE7CD;-它
&#xE30A;-成
&#xED6C;-间
&#xE6CD;-身
&#xEE33;-声
&#xE774;-没
&#xE97F;-回
&#xE1B6;-日
&#xE647;-能
&#xE839;-外
&#xEEF5;-以
&#xE15D;-有
&#xE691;-给
&#xEBB8;-到
&#xE5DB;-关
&#xE2A9;-中
&#xED7E;-什
&#xE390;-力
&#xE2B7;-心
&#xEF5F;-地
&#xEA10;-分
&#xE544;-一
&#xE46E;-女
&#xE7A5;-其
&#xE1B5;-道
&#xE72D;-上
&#xE779;-她
&#xE67A;-国
&#xE87A;-第
&#xEFAB;-子
&#xE0A8;-看
&#xE679;-民
&#xED56;-手
&#xE3A4;-人
&#xE722;-性
&#xEA89;-果
&#xEF15;-部
&#xEF8D;-与
&#xE3FE;-就
&#xE98F;-体
&#xEF29;-情
&#xE660;-么
&#xEC39;-了
&#xE283;-何
&#xEF38;-经
&#xEDF0;-儿
&#xE689;-打
&#xEBD4;-少
&#xE0CC;-重
&#xE9C8;-实
&#xEFC2;-眼
&#xEB1F;-然
&#xE28E;-此
&#xE0A5;-两
&#xE5CD;-起
&#xE55A;-去
&#xE93D;-学
&#x78"/;-x
&#xE91C;-样
&#xE6D6;-们
&#xEB97;-家
&#xED18;-义
&#xE01E;-和
&#xE6CA;-等
&#xEE65;-由
&#xE20E;-事
&#xE66E;-天
&#xE295;-者
&#xEF60;-最
&#xE1C2;-些
&#xE53E;-对
&#xE2C7;-长
&#xEB17;-从
&#xE8B9;-主
&#xE5DF;-小
&#xEA43;-又
&#xE8E3;-当
&#xE628;-死
&#xEFA9;-的
&#xE545;-之
&#xE80B;-西
&#xE742;-十
&#xE9EE;-在
&#xE8AF;-头
&#xEF01;-特
&#xEEE7;-过
&#xE63D;-可
&#xE440;-三
&#xEB7F;-真
&#xEB0C;-门
&#xEE7A;-听
&#xEF9D;-还
&#xE8F8;-明
&#xE2B9;-只
&#xE582;-化
&#xE182;-但
&#xE5A5;-文
&#xEC96;-面
&#xEFF8;-老
&#xE58E;-作
&#xECFC;-所
&#xE542;-自
&#xE711;-口
&#xEA91;-得
&#xED4E;-相
&#xE1F9;-要
&#xE130;-本
&#xE964;-几
&#xECFF;-四
&#xE48A;-会
&#xE106;-己
&#xEDA8;-先
&#xE5C6;-却
&#xEEC2;-将
&#xECF4;-公
&#xED41;-名
&#xEA08;-想
&#xE23B;-走
&#xE7D3;-他
&#xEBDC;-法
&#xE928;-白
