&#xE843;-我
&#xEC7D;-从
&#xEC17;-知
&#xEFE7;-年
&#xE81C;-小
&#xEAD9;-会
&#xE0BB;-四
&#xE39E;-下
&#xEEB2;-着
&#xEFBD;-方
&#xEE62;-说
&#xE951;-法
&#xEB11;-那
&#xE6D0;-前
&#xE7E2;-现
&#xEE24;-和
&#xE17F;-几
&#xED41;-能
&#xE8A3;-学
&#xEFD1;-经
&#xE111;-之
&#xE45D;-被
&#xEB55;-第
&#xE74E;-很
&#xED75;-思
&#xE42A;-日
&#xEF0B;-白
&#xE46C;-后
&#xE7C3;-正
&#xE365;-回
&#xE580;-大
&#xE518;-人
&#xE312;-民
&#xEE57;-者
&#xE3BC;-事
&#xE706;-没
&#xEA36;-何
&#xE5F7;-发
&#xEDC2;-些
&#xE282;-当
&#xED27;-不
&#xED64;-走
&#xED01;-美
&#xEE32;-什
&#xEC13;-教
&#xE269;-问
&#xE96D;-太
&#xEE02;-却
&#xE3E9;-作
&#xE07E;-得
&#xE972;-文
&#xEEF2;-书
&#xE7A5;-公
&#xE104;-把
&#xE009;-还
&#xE0E3;-世
&#xE9E3;-来
&#xE0CF;-写
&#xE9D5;-对
&#xE077;-样
&#xECAC;-间
&#x78"/;-x
&#xE137;-成
&#xE56C;-物
&#xEEC5;-地
&#xE247;-最
&#xED09;-种
&#xE590;-起
&#xE3DA;-话
&#xE292;-见
&#xE1B3;-有
&#xECD5;-就
&#xEFCB;-又
&#xEAAE;-三
&#xEC15;-听
&#xE2EE;-了
&#xE227;-其
&#xEC22;-将
&#xED45;-这
&#xE103;-部
&#xE383;-长
&#xE3F4;-代
&#xE207;-打
&#xE918;-时
&#xE2DB;-行
&#xEFC9;-上
&#xED81;-为
&#xE1E6;-么
&#xE35A;-义
&#xEEB7;-分
&#xEE05;-老
&#xEDFE;-社
&#xE113;-关
&#xE7A3;-子
&#xEA88;-全
&#xE20E;-更
&#xE014;-特
&#xEC67;-想
&#xE678;-由
&#xE79D;-身
&#xEE5A;-便
&#xEE5C;-果
&#xEE6B;-主
&#xEF33;-你
&#xE4B2;-声
&#xE335;-而
&#xEC5F;-可
&#xEC3C;-开
&#xE23D;-理
&#xE73F;-国
&#xE80E;-先
&#xEACA;-只
&#xEBB4;-才
&#xE031;-个
&#xEF11;-一
&#xE665;-它
&#xECF5;-口
&#xEB38;-向
&#xE7E1;-气
&#xEFA6;-进
&#xE0FE;-因
&#xE7DC;-都
&#xEC8D;-用
&#xEDB8;-体
&#xEF8E;-此
&#xEADF;-手
&#xE09B;-去
&#xE973;-家
&#xEDA7;-新
&#xECED;-意
&#xE059;-过
&#xEE9E;-少
&#xEBB6;-史
&#xEF8D;-西
&#xE8EF;-以
&#xE957;-看
&#xEF56;-实
&#xE28A;-天
&#xEB50;-多
&#xE81B;-点
&#xE724;-别
&#xE555;-明
&#xEA84;-然
&#xE9C1;-到
&#xE5E1;-论
&#xEE8F;-相
&#xEDE6;-神
&#xEF1C;-己
&#xE174;-两
&#xEB71;-情
&#xE739;-女
&#xEEAD;-感
&#xEA14;-出
&#xE421;-要
&#xE738;-真
&#xE076;-等
&#xED05;-面
&#xE714;-在
&#xEBAE;-同
&#xEEA6;-性
&#xE37C;-笑
&#xE87D;-里
&#xE0BE;-再
&#xE93D;-二
&#xEAB2;-眼
&#xEB86;-儿
&#xE620;-重
&#xE3D6;-心
&#xEF74;-是
&#xE699;-自
&#xED58;-十
&#xE523;-道
&#xED16;-定
&#xE53D;-好
&#xE02C;-于
&#xEDF6;-中
&#xE0D9;-门
&#xE4AC;-生
&#xE3C1;-但
&#xE3D5;-使
&#xE0F0;-并
&#xECA1;-死
&#xE572;-高
&#xE6C5;-本
&#xEDAB;-给
&#xEE4F;-的
&#xEA65;-无
&#xE02E;-头
&#xEBC9;-已
&#xEE25;-所
&#xE5D4;-化
&#xE474;-外
&#xEC0F;-力
&#xE93C;-她
&#xE792;-们
&#xECD9;-也
&#xE8CA;-动
&#xE833;-名
&#xEEF0;-如
&#xECC4;-他
&#xE6C0;-与
