&#xE8F1;-现
&#xE10A;-与
&#xE863;-道
&#xEF42;-但
&#xE09A;-样
&#xEFAD;-三
&#xE867;-于
&#xEF32;-个
&#xEDA8;-自
&#xE1B0;-动
&#xE497;-有
&#xE9DF;-用
&#xEA96;-少
&#xE7B3;-所
&#xE180;-义
&#xEECB;-大
&#xE39A;-么
&#xE6E0;-别
&#xE5D8;-白
&#xEB16;-体
&#xE636;-社
&#xE4AF;-物
&#xE8BF;-上
&#xE2B1;-一
&#xE983;-行
&#xEDF6;-过
&#xEBBF;-公
&#xECA4;-出
&#xEEFD;-能
&#xE0A2;-知
&#xE0F9;-西
&#xE9F3;-因
&#xE376;-为
&#xE19B;-长
&#xE014;-使
&#xE673;-把
&#xED3E;-而
&#xE75C;-关
&#xE2FA;-还
&#xE426;-打
&#xE753;-们
&#xE31F;-写
&#xE261;-美
&#xE730;-听
&#xE68C;-从
&#xEA6C;-会
&#xED95;-进
&#xEDE2;-被
&#xE1D0;-想
&#xE705;-太
&#xED81;-老
&#xE326;-情
&#xE60D;-高
&#xE824;-子
&#xED93;-生
&#xE98C;-你
&#xE785;-才
&#xE165;-天
&#xE04B;-头
&#xE232;-回
&#xE790;-后
&#xE6E7;-名
&#xE5F1;-感
&#xEA51;-和
&#xE283;-特
&#xE1B7;-多
&#xEE49;-小
&#xE50B;-者
&#xE7FD;-死
&#xE060;-时
&#xE94D;-当
&#xEE6A;-事
&#xE3A5;-地
&#xECAA;-又
&#xEBB8;-面
&#xECCA;-已
&#xEF0C;-起
&#xE5EC;-两
&#xE4F7;-来
&#xE965;-此
&#xEDFF;-本
&#xEF1C;-对
&#xE7FB;-世
&#xE494;-看
&#xE69B;-新
&#xE962;-民
&#xE313;-给
&#xEE63;-向
&#xE912;-去
&#xE42F;-化
&#xE54C;-外
&#xE5D2;-问
&#xE245;-方
&#xE53C;-着
&#xEABB;-是
&#xE402;-人
&#xE77B;-理
&#xE441;-气
&#x78"/;-x
&#xE248;-可
&#xE81A;-得
&#xE01D;-己
&#xE1A5;-门
&#xE4BB;-他
&#xE238;-等
&#xE6B7;-这
&#xE610;-十
&#xE7B2;-它
&#xEDDA;-史
&#xE71F;-儿
&#xEACA;-定
&#xEFA0;-发
&#xEF75;-正
&#xE481;-的
&#xE91E;-果
&#xE795;-二
&#xEAB1;-要
&#xE223;-国
&#xE8C1;-几
&#xE192;-种
&#xE100;-只
&#xE585;-如
&#xE2CD;-之
&#xE875;-重
&#xE4B2;-都
&#xE8E3;-何
&#xE472;-部
&#xE0D1;-也
&#xEC40;-主
&#xE30C;-文
&#xE937;-神
&#xEB39;-四
&#xE813;-明
&#xEA9F;-并
&#xEFB1;-作
&#xEC18;-代
&#xE9D7;-以
&#xEDA7;-分
&#xEEE4;-了
&#xEAA2;-第
&#xEF64;-先
&#xE4E5;-学
&#xE378;-成
&#xEB32;-经
&#xE8A8;-我
&#xE4F2;-真
&#xE41F;-力
&#xE043;-她
&#xE8FA;-相
&#xEF3F;-就
&#xE95A;-口
&#xEC98;-眼
&#xE9ED;-年
&#xE46D;-其
&#xE827;-教
&#xE0F0;-家
&#xE73B;-法
&#xEC2F;-最
&#xE5C6;-点
&#xE311;-然
&#xE6D9;-将
&#xE1BE;-没
&#xEE90;-性
&#xE781;-间
&#xE9C8;-便
&#xE2DF;-意
&#xE386;-好
&#xEE00;-那
&#xEF71;-走
&#xE2D2;-思
&#xED73;-实
&#xE095;-话
&#xED13;-见
&#xEB06;-到
&#xEAAC;-些
&#xE6F7;-手
&#xE002;-里
&#xE774;-却
&#xE72E;-开
&#xE4B5;-不
&#xEC2E;-很
&#xE79F;-笑
&#xE685;-书
&#xEAEC;-论
&#xE2C3;-声
&#xECF8;-无
&#xE0C2;-由
&#xE39E;-中
&#xEE58;-前
&#xE317;-什
&#xEEA0;-心
&#xE67D;-身
&#xEBF1;-下
&#xE7E0;-更
&#xE7DB;-日
&#xE92E;-全
&#xEBF6;-女
&#xEE96;-说
&#xE854;-再
&#xEBEE;-在
&#xECD2;-同
