&#xEE5F;-们
&#xE159;-全
&#xEED6;-想
&#xE6E5;-便
&#xE54A;-事
&#xE71C;-在
&#xE41B;-实
&#xE891;-些
&#xE08F;-因
&#xE885;-年
&#xE17F;-动
&#xE219;-才
&#xEE10;-理
&#xE130;-就
&#xE89C;-美
&#xE673;-成
&#xE5A6;-少
&#xEE87;-明
&#xE643;-是
&#xE083;-上
&#xEF8E;-手
&#xEBAA;-者
&#xE89D;-经
&#xE7E7;-三
&#xEB6D;-现
&#xE96B;-儿
&#xE300;-果
&#xED12;-样
&#xEB01;-着
&#xE200;-的
&#xE04B;-已
&#xE175;-他
&#xE6C7;-使
&#xEA34;-此
&#xE0F1;-无
&#xE1FB;-这
&#xE65C;-部
&#xE5E3;-它
&#xEFC8;-重
&#xE5EC;-头
&#xEFEC;-听
&#xEC02;-写
&#xEC58;-看
&#xEB02;-么
&#xEFFD;-力
&#xEF6B;-只
&#xE98D;-说
&#xEEFF;-把
&#xE07F;-到
&#xEA9F;-物
&#xE838;-公
&#xEC29;-长
&#xE1A3;-本
&#xE27F;-生
&#xEE7A;-并
&#xEC49;-第
&#xE2C8;-去
&#xE976;-道
&#xE5C0;-声
&#xEAD5;-对
&#xE6F4;-间
&#xE3A7;-也
&#xE721;-你
&#xED5F;-外
&#xEE3C;-于
&#xE0F7;-自
&#xE3A1;-和
&#xE80A;-分
&#xE487;-没
&#xE719;-口
&#xE296;-二
&#xEECE;-代
&#xE22C;-法
&#xE5E8;-日
&#xE2F4;-好
&#xE6EC;-前
&#xEC89;-问
&#xE056;-打
&#xECBB;-小
&#xE49E;-最
&#xEFE5;-多
&#xE31C;-人
&#xE595;-回
&#xE310;-身
&#xE326;-性
&#xEE9C;-向
&#xE982;-意
&#xEF26;-什
&#xE503;-化
&#xEEA2;-知
&#xE934;-起
&#xE3F2;-再
&#xE240;-开
&#xEFAC;-能
&#xE87E;-国
&#xEE65;-教
&#xEF69;-很
&#xEE2D;-十
&#xE97F;-一
&#xE84A;-新
&#xE20E;-两
&#xE1C6;-都
&#xE22B;-之
&#xEA56;-体
&#xE334;-特
&#xED00;-方
&#xEA2F;-话
&#xEADD;-将
&#xEAD2;-民
&#xE583;-太
&#xE9FB;-了
&#xEEC0;-名
&#xE2AB;-子
&#xED8E;-从
&#xE3C3;-发
&#xE46D;-时
&#xE0A7;-见
&#xE720;-论
&#xE0F0;-下
&#xEF49;-门
&#xE7D0;-但
&#xE12F;-有
&#xE666;-走
&#xEFB1;-而
&#xE19B;-天
&#xE758;-又
&#xEED8;-白
&#xEBB6;-关
&#xE2F0;-中
&#xEE96;-气
&#xE013;-我
&#xE5F9;-正
&#xEEF6;-女
&#xE7FE;-种
&#xEDC5;-作
&#xE482;-个
&#xE6B2;-神
&#xE762;-定
&#xE3F8;-四
&#xEDA6;-史
&#xE807;-由
&#xE8F8;-以
&#xE77F;-为
&#xE929;-其
&#xEDCF;-老
&#xE0FA;-思
&#xED3C;-来
&#xEBE6;-所
&#xE76C;-可
&#xEB84;-面
&#xE952;-世
&#x78"/;-x
&#xE349;-主
&#xE98A;-后
&#xE59E;-给
&#xECC1;-死
&#xE494;-还
&#xE862;-家
&#xEB49;-高
&#xE2D2;-别
&#xE83E;-行
&#xE14A;-出
&#xE34D;-文
&#xE2E8;-会
&#xE531;-她
&#xE5C8;-得
&#xEBBC;-学
&#xEF08;-先
&#xEF5F;-当
&#xED0E;-用
&#xEAD3;-被
&#xE9F0;-要
&#xEABD;-何
&#xE9E7;-更
&#xE37C;-真
&#xE805;-大
&#xE6CD;-然
&#xEE6C;-却
&#xE5C1;-如
&#xE409;-社
&#xE509;-地
&#xE1CB;-不
&#xEECA;-点
&#xE1E4;-情
&#xEBD4;-进
&#xEF8F;-相
&#xE5B4;-同
&#xE4E0;-过
&#xE223;-己
&#xEE82;-笑
&#xEB86;-几
&#xEEB2;-里
&#xE0E7;-西
&#xEFF2;-义
&#xE50E;-书
&#xE30B;-等
&#xE54D;-感
&#xE035;-与
&#xE6BF;-眼
&#xE0CB;-心
&#xEBC3;-那
