&#xE667;-他
&#xE7D7;-力
&#xEA61;-得
&#xE5BB;-又
&#xEF17;-本
&#xE278;-主
&#xE44B;-全
&#xE0A8;-特
&#xE439;-老
&#xE805;-学
&#xE501;-问
&#xE6A7;-走
&#xE25F;-些
&#xEBD3;-二
&#xED20;-何
&#xED88;-社
&#xE394;-去
&#xE806;-义
&#xE74F;-小
&#xEDF8;-知
&#xEA16;-这
&#xEA9B;-还
&#xE60D;-起
&#xEA1D;-里
&#xEBDE;-再
&#xEFA3;-以
&#xEFBE;-感
&#xE40C;-只
&#xE83E;-教
&#xE144;-出
&#xE973;-因
&#xE94A;-眼
&#xEB79;-没
&#xEE1A;-于
&#xED16;-公
&#xE831;-好
&#xE19A;-同
&#xE538;-打
&#xE594;-代
&#xE9E9;-为
&#xE2A7;-可
&#xE16C;-不
&#xEB97;-意
&#xECED;-部
&#xE31A;-什
&#xEB05;-名
&#xE6E8;-己
&#xEE6C;-动
&#xE4B2;-看
&#xE650;-最
&#xE2D9;-很
&#xEF81;-由
&#xE698;-那
&#xECC6;-国
&#xEEA2;-事
&#xE100;-身
&#xE524;-更
&#xEFF7;-气
&#xE42D;-它
&#xE3E3;-地
&#xEF36;-笑
&#xEE23;-能
&#xE1AE;-向
&#xE69C;-其
&#xE6F4;-将
&#xE627;-三
&#xE7FC;-着
&#xEA45;-过
&#xEC6B;-人
&#xE591;-把
&#xEE1D;-神
&#xE5D4;-心
&#xE169;-西
&#xED32;-正
&#xEF41;-有
&#xEE33;-高
&#xE2E9;-和
&#xE045;-回
&#xEBCA;-者
&#xE49E;-之
&#xE999;-十
&#xE086;-在
&#xE0CF;-少
&#xEFF8;-后
&#xEE76;-点
&#xE32B;-时
&#xE2D6;-此
&#xE530;-作
&#xE970;-并
&#xEEA9;-重
&#xE12F;-么
&#xE3B5;-手
&#xECA9;-四
&#xEB18;-白
&#xEEEE;-化
&#xE720;-如
&#xE16A;-也
&#xEB83;-文
&#xE04B;-已
&#xE411;-而
&#xEA25;-别
&#xEAD5;-一
&#xE59D;-开
&#xE309;-经
&#xEB29;-死
&#xE491;-相
&#xECA2;-史
&#xE96C;-中
&#xE171;-下
&#xE03D;-了
&#xEC2F;-我
&#xE7DA;-论
&#xE26E;-生
&#xE7CB;-写
&#xE7FF;-的
&#xE732;-家
&#xE43A;-个
&#xE7BB;-年
&#xE2A3;-民
&#xE488;-实
&#xE4B7;-们
&#xE2C1;-真
&#xE55E;-然
&#xE522;-美
&#xE8A0;-来
&#xEF95;-便
&#xE5DB;-听
&#x78"/;-x
&#xE889;-天
&#xEEF3;-你
&#xEB4D;-世
&#xE7D1;-给
&#xECF8;-等
&#xEE05;-日
&#xE200;-无
&#xEFA8;-两
&#xE319;-先
&#xE91D;-太
&#xEC27;-被
&#xEFF1;-成
&#xE8B2;-定
&#xEA55;-物
&#xEC9D;-儿
&#xE3CB;-话
&#xEFBF;-但
&#xE7E2;-情
&#xE695;-门
&#xEDBB;-子
&#xE35B;-才
&#xEF3B;-前
&#xE91C;-间
&#xE72A;-女
&#xEF75;-法
&#xE2F6;-长
&#xE710;-现
&#xE701;-与
&#xE863;-第
&#xE3BE;-几
&#xE4C0;-种
&#xE4C6;-囗
&#xE6E7;-说
&#xE30A;-上
&#xEC23;-样
&#xE094;-方
&#xE794;-头
&#xED04;-都
&#xE33F;-发
&#xEBAA;-从
&#xE925;-新
&#xE02F;-果
&#xE32A;-想
&#xE37C;-行
&#xE1EB;-到
&#xE676;-是
&#xE4AF;-用
&#xE808;-当
&#xEDC0;-使
&#xEDCB;-多
&#xEBE2;-大
&#xEC79;-理
&#xE110;-道
&#xE61B;-外
&#xE216;-书
&#xE6B7;-体
&#xE920;-分
&#xEFB5;-进
&#xE75C;-会
&#xEF86;-声
&#xE13E;-性
&#xE67D;-就
&#xED5B;-却
&#xE89A;-对
&#xE917;-见
&#xE43D;-所
&#xE0C5;-思
&#xE05B;-关
&#xEE90;-自
&#xE96A;-明
&#xE88A;-她
&#xE011;-要
&#xE93F;-面
