&#xE89B;-何
&#xE7FC;-向
&#xE338;-的
&#xE8E0;-很
&#xE216;-情
&#xE57A;-先
&#xE10F;-进
&#xE860;-囗
&#xEB14;-而
&#xE61C;-说
&#xEE20;-法
&#xE947;-死
&#xE094;-现
&#xE453;-去
&#xE854;-又
&#xED52;-把
&#xED71;-话
&#xE526;-行
&#xE695;-外
&#xE5F1;-有
&#xE0AE;-年
&#xEED9;-大
&#xECE4;-前
&#xE822;-果
&#xED0A;-面
&#xE72E;-社
&#xE758;-就
&#xEA87;-老
&#xEBAC;-白
&#xE711;-更
&#xE772;-教
&#xEC11;-作
&#xE210;-用
&#xEBBB;-与
&#xE26F;-写
&#xE4B1;-生
&#xEB34;-如
&#xE86F;-那
&#xE83E;-问
&#xE5C0;-意
&#xE92C;-小
&#xEC2F;-他
&#xE23F;-理
&#xEE95;-女
&#xEA4A;-手
&#xEA98;-思
&#xE2F1;-对
&#xEEBA;-史
&#xE461;-不
&#xE1BC;-多
&#xE610;-才
&#xEFEB;-天
&#xEBE8;-成
&#xE941;-分
&#xEB4E;-上
&#xEC5A;-声
&#xE5DE;-好
&#xE3B4;-几
&#xE7B7;-高
&#xEB24;-会
&#xE60D;-此
&#xE3EC;-发
&#xE4F1;-真
&#xE625;-笑
&#xEE62;-她
&#xE280;-回
&#xE9AC;-儿
&#xEBB1;-开
&#xE5AA;-神
&#xEA35;-便
&#xE25B;-西
&#xE49E;-身
&#xE5AF;-地
&#xEA14;-还
&#xE66B;-看
&#xE51D;-样
&#x78"/;-x
&#xEBAF;-些
&#xE857;-见
&#xEFAD;-间
&#xE7E7;-听
&#xE128;-两
&#xEDB7;-后
&#xE137;-你
&#xE882;-使
&#xEF61;-关
&#xECC0;-气
&#xEF7C;-国
&#xED45;-眼
&#xEE75;-为
&#xE2B5;-个
&#xEBA2;-将
&#xEE10;-都
&#xED2D;-公
&#xEF52;-点
&#xE8BC;-动
&#xE9A7;-并
&#xEAC1;-化
&#xEEE9;-名
&#xEDC6;-由
&#xEE2B;-新
&#xE6D8;-代
&#xEAC0;-主
&#xED96;-从
&#xEEEB;-力
&#xE05D;-本
&#xE9B5;-却
&#xE464;-别
&#xE42C;-道
&#xE1DA;-义
&#xE80B;-部
&#xE04D;-子
&#xE0E2;-这
&#xEB9A;-是
&#xEBD5;-之
&#xEC5B;-着
&#xE26A;-美
&#xE788;-得
&#xE7F6;-论
&#xE661;-学
&#xE24C;-世
&#xE8CA;-头
&#xE319;-当
&#xE148;-四
&#xE012;-在
&#xEB40;-们
&#xE85E;-要
&#xE214;-什
&#xEFE9;-但
&#xE4CF;-下
&#xE58F;-已
&#xE3E9;-己
&#xED1D;-太
&#xEA39;-同
&#xEB77;-全
&#xE956;-于
&#xE341;-定
&#xE8D8;-只
&#xE70C;-少
&#xE03A;-以
&#xEF8A;-书
&#xED7E;-里
&#xEC9E;-物
&#xE328;-实
&#xE7D1;-门
&#xE770;-感
&#xE289;-中
&#xED60;-方
&#xECB8;-自
&#xE46E;-者
&#xE3BE;-可
&#xEFCE;-三
&#xE74B;-明
&#xEEF2;-二
&#xE7CA;-家
&#xE58C;-一
&#xE3B8;-十
&#xE82B;-到
&#xE6BD;-能
&#xEEB1;-知
&#xED86;-给
&#xEBF9;-也
&#xED41;-和
&#xEC7F;-出
&#xEA96;-起
&#xEF76;-第
&#xE01D;-民
&#xEAC6;-因
&#xE126;-了
&#xEF80;-特
&#xE0F3;-体
&#xE551;-我
&#xE070;-么
&#xEAA3;-正
&#xEEC3;-事
&#xE6F5;-没
&#xE350;-其
&#xEA66;-时
&#xE568;-再
&#xE02E;-等
&#xEA4C;-种
&#xE0CD;-最
&#xEA00;-被
&#xE01B;-无
&#xEA71;-长
&#xED4D;-打
&#xEED3;-心
&#xE4B7;-经
&#xE9AB;-想
&#xE774;-然
&#xEC23;-性
&#xEFFA;-相
&#xE839;-它
&#xEFB4;-日
&#xE794;-所
&#xEA9D;-重
&#xE889;-人
&#xEC75;-文
&#xEE94;-走
&#xEB97;-过
&#xE33A;-来
