&#xE889;-和
&#xEB2C;-被
&#xE1CC;-都
&#xEC9C;-从
&#xEB8E;-史
&#xEB0D;-当
&#xE81F;-身
&#xECAA;-眼
&#xE73D;-何
&#xE76A;-三
&#xE2D8;-还
&#xE628;-者
&#xEBE7;-儿
&#xED13;-小
&#xE86C;-下
&#xEA2D;-间
&#xE437;-作
&#xE86D;-知
&#xE52A;-头
&#xE35F;-前
&#xEADF;-好
&#xE871;-的
&#xED8B;-又
&#xECB9;-门
&#xEEE9;-自
&#xE674;-说
&#xE614;-个
&#xE44A;-我
&#xE8B9;-口
&#xE2A0;-声
&#xE1B6;-便
&#xE032;-重
&#xEBAF;-世
&#xE706;-会
&#xE767;-女
&#xE146;-向
&#xE3E1;-教
&#xE4CA;-时
&#xED10;-大
&#xEE6E;-问
&#xE1B4;-上
&#xEB11;-才
&#xEDB2;-对
&#xE244;-美
&#xE392;-多
&#xEF14;-外
&#xE2BD;-方
&#xE443;-并
&#xEC01;-正
&#xE564;-去
&#xE251;-少
&#xE793;-里
&#xECDC;-只
&#xE59E;-子
&#xE685;-进
&#xEFB1;-看
&#xEAAA;-在
&#xEC8B;-老
&#xE249;-成
&#xE028;-果
&#xE0D7;-笑
&#xE7C8;-理
&#xEBC7;-后
&#xE267;-真
&#xE3F3;-公
&#xEA63;-样
&#xE388;-特
&#xE277;-走
&#xEAE9;-情
&#xE4D9;-代
&#xEBBD;-因
&#xED4C;-思
&#xE3C6;-可
&#xEE3E;-别
&#xEF1A;-民
&#xE4EE;-已
&#xE974;-动
&#xEC4A;-十
&#xE910;-过
&#xE016;-死
&#xE9A8;-听
&#xE97A;-明
&#xEB21;-起
&#xEC75;-新
&#xEC03;-些
&#xEAD9;-人
&#xE9B5;-化
&#xEAF7;-使
&#xEBC3;-是
&#xE7CD;-想
&#xEAAB;-相
&#xE289;-能
&#xE1CA;-得
&#xE712;-义
&#xE517;-书
&#xEE00;-打
&#xE553;-把
&#xE5B2;-种
&#x78"/;-x
&#xE6C5;-见
&#xE202;-与
&#xEA6A;-行
&#xE1F9;-以
&#xE3BB;-来
&#xEC31;-回
&#xE497;-感
&#xE4A7;-关
&#xE88E;-不
&#xE69B;-点
&#xE501;-要
&#xE1E8;-你
&#xEE94;-同
&#xE78E;-再
&#xEB82;-出
&#xE766;-论
&#xEDD1;-定
&#xE170;-等
&#xEECE;-更
&#xEEC3;-却
&#xE52B;-什
&#xE13F;-这
&#xECD2;-中
&#xEA79;-而
&#xE716;-所
&#xEA9C;-它
&#xE012;-意
&#xEABC;-由
&#xE150;-开
&#xE887;-那
&#xEAEF;-西
&#xE091;-经
&#xED05;-到
&#xE151;-事
&#xE371;-学
&#xEDE7;-发
&#xE19D;-如
&#xE424;-实
&#xE29E;-太
&#xE89D;-家
&#xEF65;-他
&#xE4E4;-将
&#xEA67;-神
&#xEA8E;-之
&#xE983;-白
&#xEB5C;-面
&#xEE64;-其
&#xED80;-道
&#xECCD;-性
&#xEF6D;-第
&#xE988;-话
&#xEB4B;-无
&#xEB63;-几
&#xEDEE;-体
&#xEA52;-法
&#xE25E;-部
&#xEDD7;-但
&#xE892;-两
&#xE439;-没
&#xE093;-年
&#xE819;-写
&#xE2B1;-全
&#xEE31;-地
&#xE0DC;-名
&#xE6B9;-此
&#xE018;-先
&#xE6EB;-天
&#xED2C;-主
&#xE630;-心
&#xE693;-然
&#xE96F;-国
&#xE981;-了
&#xE8D1;-文
&#xEE02;-也
&#xE647;-就
&#xE5C6;-有
&#xE3CA;-四
&#xEDAD;-长
&#xEFAC;-么
&#xE507;-日
&#xE432;-高
&#xEE4D;-气
&#xE9B6;-着
&#xE24F;-一
&#xE923;-给
&#xED36;-社
&#xE5F3;-二
&#xE824;-用
&#xE8EA;-本
&#xEF4C;-分
&#xE155;-们
&#xE51C;-生
&#xE1AF;-最
&#xE0B0;-手
&#xEBE6;-于
&#xE5D8;-物
&#xE3AD;-很
&#xE567;-为
&#xE297;-现
&#xE67B;-力
&#xEE2A;-己
&#xE199;-她
