&#xEFB9;-全
&#xE7EE;-主
&#xECA6;-面
&#xE9A3;-点
&#xEFD2;-你
&#xEEA7;-部
&#xE58C;-那
&#xE45A;-才
&#xEB37;-实
&#xE174;-打
&#xE55E;-给
&#xE978;-能
&#xEFC8;-地
&#xE359;-笑
&#xEBCB;-有
&#xE999;-太
&#xEFC7;-其
&#xE2DA;-囗
&#xEE8C;-对
&#xE096;-中
&#xE1BF;-身
&#xEF00;-里
&#xE500;-与
&#xE9C5;-真
&#xE467;-被
&#xE199;-看
&#xE66F;-下
&#xE0BA;-家
&#xE03C;-得
&#xEF8E;-当
&#xEE91;-后
&#xE5BA;-分
&#xE7C1;-情
&#xE0E3;-没
&#xE929;-无
&#xE6AA;-再
&#xEC72;-学
&#xECFB;-样
&#xE688;-开
&#xEE26;-由
&#xE88E;-何
&#xEE74;-写
&#xE601;-只
&#xE94B;-使
&#xE1A0;-又
&#xE30F;-什
&#xE6C2;-些
&#xE4B1;-此
&#xE917;-定
&#xEEFD;-外
&#xEDC8;-特
&#xEB49;-二
&#xE792;-法
&#xE920;-手
&#xE1F4;-代
&#xE549;-间
&#xEF8B;-头
&#xEC8D;-眼
&#xE8AF;-起
&#xE0BF;-还
&#xE8BC;-去
&#xE8C7;-同
&#xE6FC;-将
&#x78"/;-x
&#xED4D;-果
&#xED4E;-体
&#xE9F4;-白
&#xE747;-却
&#xEF6D;-现
&#xE687;-走
&#xE1E0;-公
&#xEB8C;-几
&#xE510;-着
&#xE962;-前
&#xE6F9;-气
&#xE7EC;-化
&#xEA8D;-声
&#xE932;-大
&#xE1BE;-自
&#xE2A6;-这
&#xEA09;-者
&#xE9A6;-最
&#xE298;-到
&#xE7B3;-生
&#xEB36;-是
&#xE4E9;-我
&#xE24C;-一
&#xE861;-相
&#xE71B;-别
&#xEB1B;-十
&#xE069;-重
&#xE8FA;-新
&#xE427;-用
&#xEE7A;-美
&#xE80E;-已
&#xE392;-门
&#xEB6F;-时
&#xEB0E;-不
&#xE881;-性
&#xEB5B;-就
&#xEDA4;-物
&#xE794;-为
&#xEE7E;-以
&#xE1BC;-进
&#xE8F2;-种
&#xE8C0;-因
&#xEFC3;-己
&#xE72F;-西
&#xEF09;-文
&#xE7D2;-可
&#xE871;-见
&#xE996;-于
&#xEA52;-发
&#xE6B2;-经
&#xEAC4;-死
&#xE49C;-论
&#xE2C9;-会
&#xEB8F;-两
&#xE696;-们
&#xE5C8;-知
&#xE6E3;-说
&#xE92D;-个
&#xEFDA;-道
&#xEB12;-年
&#xE44B;-第
&#xEF32;-义
&#xE4A9;-么
&#xE7BC;-了
&#xE6F4;-想
&#xED72;-和
&#xE969;-名
&#xE732;-出
&#xEE68;-来
&#xEC91;-从
&#xE307;-行
&#xE0A3;-天
&#xE321;-并
&#xE4C2;-明
&#xE70A;-作
&#xE431;-老
&#xEF2A;-意
&#xE015;-它
&#xE772;-社
&#xE47A;-她
&#xE845;-等
&#xE6DE;-正
&#xE904;-过
&#xE203;-四
&#xE614;-都
&#xECBC;-本
&#xECF1;-向
&#xE6DD;-少
&#xE3CC;-事
&#xE105;-便
&#xE7C0;-如
&#xE968;-之
&#xE0BB;-的
&#xE456;-理
&#xE58A;-很
&#xE453;-先
&#xE25E;-把
&#xECC9;-高
&#xEB24;-女
&#xEBF0;-然
&#xE1AF;-方
&#xE2BB;-教
&#xE596;-问
&#xE1CC;-感
&#xEADF;-而
&#xE86E;-多
&#xE7A1;-回
&#xE68C;-动
&#xE599;-他
&#xEE73;-力
&#xE6DC;-儿
&#xEB50;-也
&#xE322;-好
&#xEAB7;-更
&#xEDB2;-思
&#xEA5B;-但
&#xE11E;-神
&#xE414;-人
&#xEC7D;-子
&#xE5B2;-三
&#xE98A;-小
&#xE543;-民
&#xE8C1;-日
&#xEDCE;-书
&#xEDA3;-关
&#xE498;-听
&#xE51E;-所
&#xEBE9;-国
&#xEADE;-成
&#xE227;-史
&#xED3B;-长
&#xE729;-要
&#xE3BF;-上
&#xEBDC;-心
&#xE45D;-世
&#xE61C;-话
&#xE031;-在
