&#xE3E4;-到
&#xE3AB;-给
&#xE7D7;-所
&#xE8BE;-儿
&#xE789;-声
&#xEE33;-着
&#xE029;-间
&#xEA53;-发
&#xEFA9;-高
&#xEEF5;-新
&#xE8EF;-见
&#xE33B;-心
&#xEA7D;-会
&#xEDB8;-却
&#xE348;-门
&#xE17B;-事
&#xE3B1;-话
&#xE70B;-但
&#xEF1C;-地
&#xEED0;-口
&#xEB33;-开
&#xE5BE;-外
&#xED3A;-力
&#xE0E7;-两
&#xEE83;-物
&#xE7E5;-道
&#xEB26;-手
&#xE1BC;-过
&#xEA49;-代
&#xE51D;-把
&#xE621;-然
&#xEDB3;-问
&#xE620;-最
&#xED4C;-同
&#xEA9A;-民
&#xEE24;-与
&#xED10;-真
&#xE355;-第
&#xE039;-重
&#xE9CA;-部
&#xE482;-不
&#xE767;-看
&#xEA0C;-意
&#xE087;-作
&#xEC1B;-体
&#xE0E0;-并
&#xE9B4;-个
&#xE897;-本
&#xE222;-再
&#xE253;-笑
&#xEAE1;-动
&#xE8AD;-以
&#xE75C;-死
&#xE028;-论
&#xE859;-什
&#xEA37;-文
&#xE446;-它
&#xEFF1;-小
&#xE4E2;-主
&#xEB03;-也
&#xE0CE;-日
&#xE50B;-西
&#xE8C5;-十
&#xED40;-向
&#xEDBF;-公
&#xE340;-知
&#xE042;-方
&#xEF2A;-年
&#xE9A8;-好
&#xE689;-回
&#xE645;-我
&#xE9D4;-前
&#xEDBD;-三
&#xE97A;-大
&#xEBEB;-成
&#xE38F;-分
&#xED55;-得
&#xE5BA;-被
&#xE0E9;-走
&#xEAEC;-的
&#xE7E3;-别
&#xEFB5;-来
&#xED13;-情
&#xE8E5;-能
&#xE009;-起
&#xE988;-样
&#xE662;-头
&#xE113;-说
&#xE674;-之
&#xE510;-打
&#xE841;-在
&#xEF79;-老
&#xE6E7;-几
&#xE373;-果
&#xE22B;-自
&#xED63;-还
&#xE02A;-一
&#xE157;-将
&#xEF8E;-感
&#xEB79;-身
&#xEC96;-进
&#xE45B;-了
&#xE846;-使
&#xE051;-人
&#xED59;-想
&#xE3F0;-先
&#xE02D;-少
&#xE9E8;-己
&#xE3E0;-就
&#xE025;-法
&#xE55E;-生
&#xE469;-理
&#xE045;-二
&#xE45D;-是
&#xEA82;-教
&#xE21A;-思
&#xECE1;-全
&#xE52C;-便
&#xE69B;-有
&#xE6DB;-于
&#xE9F2;-气
&#xE121;-从
&#xE6BA;-何
&#xE423;-么
&#xE2F0;-面
&#xEFCB;-经
&#xE57D;-行
&#xE075;-相
&#xE055;-义
&#xEB44;-多
&#xE43C;-当
&#xEE0A;-名
&#xEDE5;-们
&#xE328;-家
&#xECC5;-女
&#xEB85;-太
&#xED88;-去
&#xE6E8;-明
&#xE9E6;-没
&#xEF57;-点
&#xEE5B;-已
&#xE295;-史
&#xE63D;-关
&#xE29B;-中
&#xEBF3;-要
&#xEE93;-现
&#xE2FB;-时
&#xEC3A;-那
&#xEE90;-社
&#xE2B8;-此
&#xE6E1;-里
&#xE421;-你
&#xEF6A;-出
&#xE7C4;-这
&#xE7A0;-定
&#xE6B6;-特
&#xE694;-神
&#xE831;-可
&#xE17E;-只
&#xE9DA;-上
&#xEE67;-性
&#xE3E6;-对
&#xEC18;-实
&#xE4B1;-书
&#xE149;-为
&#xEC93;-又
&#xE5A5;-用
&#xE3FE;-都
&#xEB42;-下
&#xE8CE;-他
&#xEB2A;-学
&#xE38C;-眼
&#xEDE2;-子
&#xEF93;-四
&#xEDF5;-化
&#xEA32;-她
&#xE4E6;-大
&#xEAAA;-后
&#xEE46;-才
&#xE11D;-和
&#xE152;-美
&#xEE53;-些
&#xED74;-其
&#xE853;-世
&#xE33C;-由
&#xE806;-很
&#xEB4E;-天
&#xED6A;-写
&#xEFE2;-更
&#xE568;-者
&#xEDC4;-听
&#xEFB3;-如
&#xED50;-长
&#xE8ED;-而
&#xE199;-白
&#xE942;-等
&#xEFD8;-正
&#xE665;-国
&#xEB82;-无
&#xECE5;-种
