&#xE050;-世
&#xEC74;-他
&#xE480;-之
&#xEA25;-多
&#xEA3D;-代
&#xE968;-外
&#xE84B;-们
&#xEF59;-小
&#xE844;-为
&#xE479;-人
&#xE564;-气
&#xEF33;-家
&#xEC43;-关
&#xEAF7;-事
&#xEE45;-看
&#xE696;-于
&#xED29;-然
&#xEE21;-使
&#xE686;-点
&#xE9E3;-便
&#xEE61;-少
&#xE889;-方
&#xE70B;-就
&#xE27F;-口
&#xE999;-四
&#xE0EF;-个
&#xED31;-问
&#xE7CB;-第
&#xE3DE;-长
&#xE61A;-由
&#xE68B;-自
&#xE084;-只
&#xE1A4;-她
&#xEE0F;-这
&#xE18E;-性
&#xED15;-法
&#xE161;-如
&#xE2A9;-什
&#xE24D;-先
&#xE376;-都
&#xE165;-白
&#xE976;-的
&#xECB7;-学
&#xE6C9;-女
&#xEB8F;-种
&#xE00D;-相
&#xEF2F;-意
&#xE342;-好
&#xEAC2;-动
&#xE299;-又
&#xEAD5;-么
&#xE205;-史
&#xE25B;-书
&#xE020;-但
&#xEC38;-很
&#xE09D;-新
&#xE98E;-明
&#xE954;-向
&#xE783;-回
&#xE193;-义
&#xEC46;-因
&#xEA6B;-分
&#xEACB;-会
&#xE5B1;-听
&#xED77;-头
&#xE9DA;-而
&#xEA77;-化
&#xE883;-物
&#xE2D7;-给
&#xEB35;-其
&#xEC6D;-在
&#xEF29;-者
&#xEE3E;-等
&#xE541;-儿
&#xEA88;-打
&#xEB68;-现
&#xEFA1;-体
&#xE4F9;-有
&#xEF5E;-别
&#xE547;-开
&#xE851;-手
&#xE26C;-里
&#xE9E4;-样
&#xE011;-能
&#xEA2F;-特
&#xE3C3;-出
&#xE492;-主
&#xE5FF;-文
&#xE836;-我
&#xE9B8;-说
&#xE128;-定
&#xEDCA;-才
&#xEF9C;-要
&#xE174;-同
&#xECE8;-作
&#xEE6F;-一
&#xE2DD;-面
&#xE22C;-可
&#xEFE2;-此
&#xEF8F;-部
&#xEEE6;-到
&#xEDB0;-公
&#xE2BD;-话
&#xE847;-时
&#xE1B1;-高
&#xE70C;-理
&#xE698;-子
&#xEFEC;-些
&#xE9B9;-并
&#xE76B;-它
&#xE146;-上
&#xE87A;-写
&#xEACC;-眼
&#xE176;-用
&#xE087;-当
&#xE9FF;-了
&#xE27E;-情
&#xEEF0;-教
&#xE3F5;-力
&#xEC33;-无
&#xEF0B;-神
&#xE6B8;-最
&#xE437;-得
&#xEFC7;-被
&#xEAB7;-成
&#xE9F1;-全
&#xE080;-以
&#xE4F0;-两
&#xEAC7;-地
&#xE424;-正
&#xEF66;-更
&#xE40B;-着
&#xE353;-心
&#xE4D8;-经
&#xE2D3;-想
&#xEE0B;-与
&#xE772;-笑
&#xEE0C;-身
&#xEF17;-后
&#xEE1C;-实
&#xED2C;-美
&#xE631;-间
&#xE420;-中
&#xEF7D;-再
&#xEA3F;-三
&#xEBA1;-却
&#xEF67;-社
&#xED33;-来
&#xE534;-见
&#xE504;-大
&#xE01D;-门
&#xE80A;-本
&#xEFD2;-论
&#xECEA;-己
&#xEB02;-还
&#xE0E6;-何
&#xE969;-名
&#xE966;-几
&#xE1AB;-知
&#xEC7A;-真
&#xE41F;-十
&#xE512;-生
&#xE9CC;-将
&#xE60B;-思
&#xE749;-老
&#xE876;-发
&#xE00B;-西
&#xE307;-所
&#xEB6A;-那
&#xEF09;-道
&#xEA1A;-也
&#xEA95;-前
&#xE90C;-已
&#xE744;-声
&#xEC4E;-下
&#xE313;-果
&#xE10C;-走
&#xE140;-死
&#xE503;-国
&#xEFDA;-过
&#xEA9F;-你
&#xE0E4;-是
&#xEE4B;-年
&#xE6B3;-去
&#xE933;-把
&#xEE72;-民
&#xE4BD;-二
&#xE8A9;-行
&#xE317;-日
&#xEB4D;-感
&#xE52F;-天
&#xE6FE;-没
&#xE2EB;-从
&#xE82A;-重
&#xECA4;-和
&#xE655;-起
&#xE0F9;-不
&#xE779;-太
&#xE7E7;-对
&#xEBD7;-进
