&#xE133;-于
&#xEBB8;-家
&#xEA23;-来
&#xE587;-回
&#xE93A;-法
&#xEDCF;-经
&#xEB4E;-方
&#xE41E;-听
&#xE643;-可
&#xEB4B;-高
&#xE22A;-进
&#xECFF;-点
&#xE2E9;-史
&#xE02D;-已
&#xEFBD;-想
&#xE2C8;-出
&#xE895;-日
&#xE9CF;-他
&#xE79F;-力
&#xE5A7;-知
&#xE1EB;-相
&#xEFCD;-定
&#xEA1A;-却
&#xEA22;-向
&#xE78A;-从
&#xE235;-死
&#xE951;-是
&#xECCB;-体
&#xE11A;-别
&#xE7B0;-重
&#xE6C9;-动
&#xE7D3;-等
&#xEC4D;-么
&#xEC68;-了
&#xEA09;-过
&#xE007;-先
&#xE0D6;-前
&#xE101;-作
&#xEE4C;-打
&#xE90A;-当
&#xE384;-在
&#xED98;-气
&#xEBC6;-而
&#xE935;-国
&#xE942;-能
&#xEF40;-头
&#xE2CE;-样
&#xE79C;-成
&#xE5C4;-真
&#xE653;-口
&#xEC27;-为
&#xEA25;-小
&#xEDE4;-开
&#xE350;-民
&#xEE7B;-多
&#xEF51;-它
&#xE265;-么
&#xEF43;-生
&#xEDF4;-正
&#xECC0;-的
&#xE3A1;-中
&#xE634;-教
&#xEDA5;-四
&#xEF13;-代
&#xEDB3;-起
&#xEDB6;-有
&#xE253;-论
&#xEB7C;-再
&#xE6FA;-将
&#xE130;-者
&#xEC77;-文
&#xEAE2;-但
&#xE087;-走
&#xECC2;-使
&#xE2DF;-白
&#xE1DF;-门
&#xE117;-行
&#xE70B;-很
&#xE96B;-因
&#xE2B4;-都
&#xE4E9;-这
&#xE586;-好
&#xE06E;-社
&#xEDC1;-关
&#xE03D;-女
&#xEC89;-没
&#x78"/;-X
&#xE435;-给
&#xEBA9;-心
&#xE583;-眼
&#xEDD9;-十
&#xE5AB;-实
&#xE1D1;-上
&#xE87C;-得
&#xE9A3;-如
&#xEF4C;-物
&#xE8F9;-两
&#xEAAB;-子
&#xE93F;-义
&#xEF60;-新
&#xE870;-全
&#xEA80;-什
&#xE396;-天
&#xE5DC;-明
&#xE5F0;-世
&#xE794;-时
&#xEF3D;-问
&#xE15B;-老
&#xE9F2;-书
&#xE008;-要
&#xE630;-并
&#xEF67;-你
&#xE09F;-人
&#xE36A;-事
&#xE189;-由
&#xE731;-就
&#xE14C;-被
&#xEDB0;-也
&#xE0F0;-地
&#xE062;-道
&#xE0D5;-所
&#xE8A7;-果
&#xE8AA;-特
&#xEEE6;-只
&#xEB71;-把
&#xEF76;-声
&#xE304;-手
&#xEAB9;-又
&#xE339;-一
&#xE954;-美
&#xE569;-部
&#xE4BB;-公
&#xE7B7;-主
&#xEC50;-几
&#xE487;-便
&#xE7DC;-用
&#xE425;-理
&#xEB1B;-后
&#xE193;-最
&#xEB35;-本
&#xECD9;-话
&#xE616;-里
&#xE127;-性
&#xECDE;-第
&#xEF81;-神
&#xECC5;-二
&#xE76D;-无
&#xE95F;-更
&#xE0FB;-思
&#xEB08;-写
&#xE20F;-见
&#xEF58;-着
&#xE9AA;-何
&#xE7BB;-感
&#xEE18;-说
&#xEC36;-少
&#xEC19;-不
&#xED23;-和
&#xE21F;-现
&#xED4B;-之
&#xE5A0;-面
&#xECE4;-己
&#xE7A1;-她
&#xE348;-同
&#xE65C;-间
&#xEF4B;-们
&#xED97;-才
&#xED4D;-然
&#xEF5D;-与
&#xE552;-年
&#xEDF0;-种
&#xE57F;-其
&#xE824;-西
&#xECC7;-我
&#xEB9B;-儿
&#xEDA6;-名
&#xE141;-到
&#xEBAF;-对
&#xEE8A;-意
&#xEC54;-发
&#xE422;-太
&#xE510;-情
&#xE281;-那
&#xE232;-个
&#xEC70;-自
&#xE906;-学
&#xE6CA;-三
&#xEBEE;-化
&#xEE57;-长
&#xEA36;-去
&#xE2D6;-下
&#xE8B7;-以
&#xE11E;-还
&#xE750;-大
&#xE51D;-此
&#xE4AC;-分
&#xE92D;-些
&#xE498;-身
&#xE439;-看
&#xEE73;-笑
&#xE318;-外
