&#xE2D9;-两
&#xEDE5;-何
&#xEC32;-从
&#xE347;-当
&#xE2AF;-教
&#xED12;-门
&#xEB8F;-感
&#xEC7E;-会
&#xE7A8;-更
&#xEC21;-史
&#xEF94;-己
&#xE688;-可
&#xEA95;-日
&#xEBF2;-方
&#xEC7D;-问
&#xE895;-几
&#xEF9F;-把
&#xEC27;-去
&#xE607;-女
&#xE8D8;-真
&#xEC13;-自
&#xECD0;-能
&#xE795;-声
&#xE4B2;-主
&#xE10C;-西
&#xE9A6;-样
&#xE1A7;-正
&#xEF9A;-再
&#xE0A5;-个
&#xE6B2;-用
&#xE8B7;-理
&#xE07F;-年
&#xE0AB;-如
&#xE7D1;-定
&#xEBD4;-在
&#xEBCF;-儿
&#xEBBB;-见
&#xE522;-十
&#xE016;-情
&#xEDFA;-二
&#xE883;-想
&#xE652;-进
&#xEB4C;-于
&#xE99D;-白
&#xEE2D;-思
&#xE129;-它
&#xE8EC;-高
&#xEE25;-同
&#xEA02;-却
&#xE08C;-多
&#xEF6A;-此
&#xEE1A;-并
&#xE61E;-些
&#xE721;-就
&#xE048;-为
&#xE671;-你
&#xEC42;-外
&#xEF21;-论
&#xE76D;-物
&#xED14;-其
&#xE9CA;-事
&#xE122;-又
&#xE2B0;-太
&#xE75F;-小
&#xEDD0;-最
&#xE2EB;-来
&#xEE67;-学
&#xE77E;-到
&#xEAA9;-分
&#xEA0A;-死
&#xEA08;-作
&#xEF80;-实
&#xE86D;-代
&#xE309;-世
&#xEE66;-生
&#xE7B7;-少
&#xEB66;-家
&#xEBE0;-国
&#xE0B7;-们
&#xEB74;-里
&#xEE24;-的
&#xEC3E;-便
&#xEDEB;-还
&#xE1B6;-公
&#xEC4A;-与
&#xEEA9;-地
&#xE3C8;-听
&#xED79;-本
&#xE3F6;-眼
&#xE654;-后
&#xE777;-意
&#xE872;-有
&#xEEDF;-法
&#xE301;-民
&#xEEA4;-才
&#xE98B;-面
&#xEA1A;-了
&#xE87B;-话
&#xE7CF;-因
&#xEB90;-向
&#xEDC8;-三
&#xE929;-上
&#xE7AD;-头
&#xE161;-行
&#xEBA3;-美
&#xE8C3;-手
&#xE8C0;-人
&#xE769;-部
&#xE573;-心
&#xE4C0;-中
&#xEF34;-使
&#xE07D;-那
&#xE310;-时
&#xE80C;-不
&#xEBE8;-走
&#xECD1;-口
&#xE804;-起
&#xE903;-天
&#xE6A8;-看
&#xEE5D;-和
&#xE889;-无
&#xE4D7;-文
&#xEF9C;-特
&#xEECD;-是
&#xE215;-出
&#xE7D2;-相
&#xEDED;-发
&#xE8A0;-名
&#xE526;-然
&#xED54;-力
&#xE427;-老
&#xEA50;-之
&#xE993;-等
&#xE9D5;-她
&#xE169;-重
&#xEB2C;-给
&#xE7BD;-所
&#xEAF2;-这
&#xE1DF;-打
&#xE8D2;-没
&#xE9B9;-好
&#xE66C;-身
&#xEC3B;-只
&#xE6E8;-写
&#xE4E7;-者
&#xE0BB;-成
&#xED83;-他
&#xE627;-什
&#xEB02;-大
&#xE243;-都
&#xE84E;-知
&#xEDE1;-开
&#xE2D2;-过
&#xE9F3;-被
&#xE50C;-社
&#xEDB1;-回
&#xE6EC;-也
&#xEB24;-全
&#xE619;-新
&#xE486;-气
&#xE6DE;-要
&#xE708;-说
&#xEB1B;-间
&#xE529;-四
&#xEC4E;-得
&#xE62C;-义
&#xE6B7;-果
&#xE817;-道
&#xEE50;-长
&#xEFBB;-我
&#xE1F3;-第
&#xEA88;-前
&#xE24B;-下
&#xEB4F;-先
&#xED41;-关
&#xED0E;-已
&#xECFF;-神
&#xE9EE;-化
&#xEE84;-书
&#xE0FE;-着
&#xEC69;-但
&#xEEFC;-性
&#xE4EC;-点
&#xE09C;-种
&#xEF40;-子
&#xE009;-明
&#xEEA7;-体
&#xE44A;-由
&#xEE7D;-以
&#xE41D;-对
&#xE604;-而
&#xEC35;-现
&#xE479;-经
&#xE5D4;-别
&#xE988;-很
&#xE73C;-么
&#xE4B9;-动
&#xE508;-笑
&#xE00F;-将
&#xE293;-一
