&#xE044;-那
&#xEDC2;-理
&#xE6C0;-成
&#xE4DA;-而
&#xEEA1;-文
&#xED83;-四
&#xE0C9;-要
&#xE772;-打
&#xEEF7;-社
&#xED84;-已
&#xE2F0;-种
&#xE078;-多
&#xEDC6;-气
&#xED5C;-能
&#xE21F;-十
&#xE4DE;-想
&#xE58A;-第
&#xE94F;-便
&#xE3D4;-部
&#xE235;-用
&#xECD0;-身
&#xE837;-头
&#xE532;-定
&#xEAAD;-者
&#xE927;-论
&#xE0E7;-新
&#xE44D;-别
&#xEFCE;-么
&#xE011;-没
&#xE2AE;-里
&#xE4C0;-重
&#xE128;-把
&#xE85B;-子
&#xEF5B;-使
&#xEA2C;-儿
&#xED08;-名
&#xE040;-女
&#xEED4;-开
&#xE621;-民
&#xE4AC;-只
&#xE18E;-出
&#xEC90;-口
&#xE275;-二
&#xE290;-大
&#xE549;-同
&#xE42C;-到
&#xE98D;-感
&#xE023;-因
&#xED6B;-会
&#xE8AC;-回
&#xEE0F;-道
&#xEE8C;-两
&#xE490;-从
&#xEB1E;-好
&#xEA16;-日
&#xE15D;-书
&#xEF19;-前
&#xE61D;-对
&#xE95D;-教
&#xE138;-力
&#xE4F6;-正
&#xE415;-人
&#xEF9A;-代
&#xE812;-我
&#xE27B;-面
&#xEBD4;-生
&#xE48A;-全
&#xEA09;-话
&#xE533;-高
&#xE9B1;-以
&#xE7D9;-看
&#xE43C;-她
&#xE9EA;-无
&#xED2A;-法
&#xEA2E;-意
&#xE711;-并
&#xE660;-你
&#xE5EE;-特
&#xEDB3;-声
&#xE683;-说
&#xEBDF;-这
&#xE396;-有
&#xEA52;-现
&#xE805;-笑
&#xEC9B;-得
&#xEA0B;-他
&#xE44E;-如
&#xE7BF;-的
&#xE213;-事
&#xEFE8;-义
&#xE356;-听
&#xEF84;-死
&#xE74E;-由
&#xE2B0;-美
&#xEB4F;-于
&#xEA5F;-更
&#xE1CA;-却
&#xEF71;-分
&#xE0BF;-家
&#xE9F5;-此
&#xE2AF;-走
&#xE3CC;-老
&#xE8E2;-将
&#xE004;-很
&#xE489;-体
&#xE10A;-它
&#xE43B;-化
&#xEB23;-思
&#xE74F;-问
&#xEE7C;- 主
&#xE9C1;-向
&#xE6CD;-再
&#xE10F;-学
&#xE9F3;-和
&#xE2C7;-起
&#xEDB7;-公
&#xEEB7;-果
&#xEB6E;-来
&#xE9B6;-发
&#xEC4B;-为
&#xE1CB;-白
&#xEB43;-动
&#xEB74;-着
&#xE007;-等
&#xE1D2;-己
&#xE552;-见
&#xE682;-间
&#xE7D8;-下
&#xED3B;-国
&#xED02;-去
&#xEFC8;-之
&#xE3A3;-几
&#xE1A0;-其
&#xEB77;-少
&#xE1B0;-明
&#xE4B2;-不
&#xEB56;-世
&#xEF2A;-史
&#xEDC9;-方
&#xE572;-神
&#xE013;-还
&#xE8BC;-才
&#xED38;-可
&#xE1EF;-经
&#xE5A3;-心
&#xE22F;-西
&#xEAAE;-长
&#xE3BF;-外
&#xEC34;-三
&#xEADA;-太
&#xEF16;-个
&#xE0AA;-点
&#xE9FD;-知
&#xEE7D;-时
&#xE5C0;-后
&#xE7A0;-年
&#xE836;-本
&#xE69D;-物
&#xEE6F;-什
&#xE7B5;-关
&#xEF57;-当
&#xE3AF;-与
&#xE3F1;-中
&#xE84E;-天
&#xEA46;-们
&#xEDEF;-就
&#xEFAD;-也
&#xEE11;-地
&#xE0E1;-又
&#xEAC4;-行
&#xEE32;-但
&#xE2A7;-进
&#xEDB9;-被
&#xE3B1;-性
&#xE5D5;-门
&#xE437;-写
&#xE1E1;-了
&#xE0B0;-一
&#xEF18;-最
&#xE172;-作
&#xED8C;-过
&#xE4D8;-在
&#xE83E;-上
&#xE840;-是
&#xE998;-小
&#xEF8C;-然
&#xE8C0;-给
&#xE35C;-何
&#xE847;-真
&#xE673;-些
&#xEAEB;-实
&#xE0D8;-都
&#xE643;-所
&#xEF1D;-情
&#xE48F;-手
&#xE1F2;-自
&#xE3BC;-眼
&#xE85F;-先
&#xE07B;-样
&#xED54;-相
