&#xe00a;-头
&#xe01e;-教
&#xe020;-问
&#xe024;-力
&#xe025;-一
&#xe034;-了
&#xe040;-无
&#xe066;-小
&#xe069;-面
&#xe06c;-老
&#xe077;-年
&#xe07b;-身
&#xe08c;-特
&#xe0f8;-开
&#xe0fc;-美
&#xe105;-只
&#xe124;-向
&#xe128;-神
&#xe133;-地
&#xe145;-如
&#xe172;-果
&#xe183;-明
&#xe186;-过
&#xe1a2;-并
&#xe1ad;-它
&#xe1c0;-女
&#xe1dd;-二
&#xe1f1;-主
&#xe1fb;-其
&#xe20c;-气
&#xe216;-点
&#xe221;-对
&#xe233;-再
&#xe26c;-知
&#xe276;-是
&#xe278;-物
&#xe280;-走
&#xe285;-文
&#xe291;-前
&#xe2a3;-才
&#xe2a4;-使
&#xe2e6;-种
&#xe307;-还
&#xe311;-西
&#xe33d;-名
&#xe340;-先
&#xe352;-等
&#xe36b;-那
&#xe38c;-间
&#xe3bb;-此
&#xe3bd;-人
&#xe3d4;-方
&#xe3dd;-因
&#xe3e4;-体
&#xe3ef;-定
&#xe3f5;-愚
&#xe405;-你
&#xe408;-好
&#xe40c;-高
&#xe42b;-进
&#xe445;-少
&#xe4b4;-关
&#xe4b6;-日
&#xe4f6;-几
&#xe4f9;-被
&#xe507;-意
&#xe50f;-给
&#xe536;-代
&#xe594;-以
&#xe59d;-现
&#xe5ac;-门
&#xe5c0;-回
&#xe5e5;-着
&#xe5f4;-声
&#xe620;-没
&#xe62b;-别
&#xe63c;-用
&#xe642;-生
&#xe643;-太
&#xe645;-起
&#xe658;-下
&#xe664;-后
&#xe674;-要
&#xe68f;-听
&#xe692;-发
&#xe6a5;-在
&#xe6b4;-出
&#xe6d4;-两
&#xe6d8;-史
&#xe6d9;-同
&#xe704;-不
&#xe729;-全
&#xe73e;-何
&#xe748;-己
&#xe787;-道
&#xe807;-他
&#xe809;-得
&#xe814;-说
&#xe81f;-动
&#xe82f;-新
&#xe835;-心
&#xe83e;-民
&#xe86a;-自
&#xe86c;-很
&#xe875;-相
&#xe87d;-分
&#xe88c;-公
&#xe891;-当
&#xe89c;-长
&#xe89d;-子
&#xe8aa;-理
&#xe8fb;-行
&#xe91a;-手
&#xe91d;-真
&#xe923;-便
&#xe924;-经
&#xe925;-写
&#xe932;-从
&#xe939;-已
&#xe941;-论
&#xe983;-什
&#xe98c;-之
&#xe993;-把
&#xe99c;-可
&#xe9a7;-性
&#xe9b0;-为
&#xe9dd;-和
&#xe9f3;-话
&#xea09;-们
&#xea0e;-法
&#xea1a;-儿
&#xea1d;-正
&#xea24;-情
&#xea28;-与
&#xea37;-有
&#xea4b;-见
&#xea59;-看
&#xea70;-眼
&#xea78;-成
&#xea7d;-打
&#xea99;-而
&#xeab8;-第
&#xeacb;-实
&#xeacf;-能
&#xead4;-就
&#xead7;-天
&#xeafb;-国
&#xeb21;-大
&#xeb34;-四
&#xeb56;-更
&#xeb72;-三
&#xeb8e;-所
&#xebaa;-于
&#xebaf;-多
&#xebd3;-将
&#xebe2;-者
&#xec02;-家
&#xec07;-的
&#xec14;-死
&#xec3a;-我
&#xec47;-学
&#xec90;-然
&#xeca0;-都
&#xeca7;-这
&#xecb6;-白
&#xecc2;-些
&#xecd2;-十
&#xed11;-时
&#xed18;-口
&#xed1d;-部
&#xed38;-外
&#xed42;-义
&#xed6e;-样
&#xeda4;-作
&#xeda6;-中
&#xeda7;-么
&#xedc2;-社
&#xedfb;-书
&#xee18;-又
&#xee6a;-会
&#xee78;-本
&#xee95;-个
&#xee9d;-感
&#xeea6;-也
&#xeeaa;-重
&#xeeac;-事
&#xeeaf;-笑
&#xeeb2;-由
&#xeeb9;-但
&#xeebc;-来
&#xeec6;-思
&#xeede;-上
&#xef01;-最
&#xef02;-她
&#xef73;-却
&#xef8a;-去
&#xefe4;-里
&#xefe6;-世
&#xefed;-到
&#xefee;-化
