&#xe025;-笑
&#xe035;-与
&#xe042;-相
&#xe052;-愚
&#xe07c;-史
&#xe07f;-话
&#xe08d;-分
&#xe093;-它
&#xe096;-把
&#xe0a4;-家
&#xe0a8;-先
&#xe0a9;-只
&#xe0c6;-教
&#xe0e4;-个
&#xe0f0;-在
&#xe10e;-回
&#xe125;-并
&#xe136;-但
&#xe171;-事
&#xe17d;-和
&#xe1b0;-到
&#xe1eb;-问
&#xe1f9;-过
&#xe200;-又
&#xe21d;-太
&#xe227;-何
&#xe231;-主
&#xe240;-他
&#xe279;-代
&#xe29a;-高
&#xe29e;-动
&#xe2c6;-很
&#xe2d2;-外
&#xe2e2;-化
&#xe2ee;-作
&#xe2f5;-间
&#xe302;-之
&#xe308;-十
&#xe30f;-性
&#xe31c;-要
&#xe354;-学
&#xe387;-重
&#xe3a2;-上
&#xe3a7;-神
&#xe3c3;-出
&#xe3d8;-门
&#xe3de;-说
&#xe3e3;-别
&#xe3eb;-口
&#xe3ef;-理
&#xe3fc;-对
&#xe407;-样
&#xe41f;-走
&#xe42e;-本
&#xe441;-关
&#xe44d;-法
&#xe45b;-正
&#xe46c;-这
&#xe46d;-义
&#xe477;-物
&#xe483;-新
&#xe487;-人
&#xe49f;-社
&#xe4be;-子
&#xe4c3;-特
&#xe4d1;-无
&#xe4ea;-从
&#xe530;-论
&#xe56e;-们
&#xe5c2;-不
&#xe5da;-更
&#xe5eb;-能
&#xe62f;-开
&#xe65a;-眼
&#xe65b;-儿
&#xe66e;-心
&#xe670;-己
&#xe6ac;-给
&#xe6af;-还
&#xe6b3;-有
&#xe6c0;-由
&#xe6dc;-实
&#xe6de;-文
&#xe6ec;-被
&#xe752;-么
&#xe766;-看
&#xe787;-女
&#xe7a0;-第
&#xe7a3;-自
&#xe7b1;-里
&#xe7c5;-就
&#xe7df;-会
&#xe80b;-进
&#xe80c;-同
&#xe853;-而
&#xe876;-头
&#xe88e;-用
&#xe892;-少
&#xe895;-下
&#xe89c;-手
&#xe8b8;-前
&#xe8bd;-听
&#xe8be;-天
&#xe8d5;-打
&#xe8fc;-公
&#xe910;-全
&#xe91e;-一
&#xe933;-中
&#xe94f;-如
&#xe95a;-向
&#xe986;-美
&#xe98d;-三
&#xe998;-种
&#xe9b6;-行
&#xe9b8;-得
&#xe9c1;-意
&#xe9e4;-为
&#xe9f0;-书
&#xe9fb;-最
&#xea06;-时
&#xea1a;-明
&#xea1d;-以
&#xea23;-将
&#xea34;-年
&#xea35;-几
&#xea3c;-多
&#xea47;-真
&#xea48;-气
&#xea71;-方
&#xea7d;-见
&#xead4;-现
&#xeae4;-因
&#xeae9;-部
&#xeaf8;-我
&#xeb02;-力
&#xeb08;-已
&#xeb25;-此
&#xeb2b;-生
&#xeb45;-去
&#xeb4b;-身
&#xeb53;-地
&#xeb5d;-着
&#xebbf;-来
&#xebc8;-民
&#xebd9;-国
&#xebf4;-小
&#xec01;-了
&#xec25;-西
&#xec2c;-知
&#xec36;-长
&#xec46;-才
&#xec4d;-感
&#xec5f;-果
&#xeca0;-四
&#xeca8;-情
&#xecba;-发
&#xecde;-也
&#xecf7;-所
&#xed0b;-的
&#xed1a;-经
&#xed30;-好
&#xed48;-什
&#xed5b;-起
&#xed80;-当
&#xed98;-等
&#xedaa;-者
&#xedab;-定
&#xedac;-其
&#xedb0;-死
&#xedb8;-是
&#xedbe;-名
&#xedc2;-两
&#xedc9;-二
&#xedd5;-那
&#xedfc;-大
&#xee06;-日
&#xee2a;-后
&#xee42;-她
&#xee46;-世
&#xee60;-体
&#xeec4;-却
&#xeecf;-于
&#xeed7;-使
&#xeede;-成
&#xeee9;-便
&#xef03;-可
&#xef2c;-白
&#xef30;-都
&#xef34;-老
&#xef45;-些
&#xef50;-你
&#xef5b;-写
&#xef84;-然
&#xef9a;-点
&#xefc1;-没
&#xefc2;-再
&#xefdb;-声
&#xefdf;-道
&#xefe2;-面
&#xefed;-思
