&#xe008;-听
&#xe00c;-理
&#xe012;-才
&#xe027;-好
&#xe037;-第
&#xe042;-将
&#xe04d;-高
&#xe056;-重
&#xe05f;-面
&#xe083;-家
&#xe089;-几
&#xe0bb;-声
&#xe0c5;-定
&#xe0da;-所
&#xe10e;-上
&#xe126;-别
&#xe128;-便
&#xe12a;-神
&#xe147;-史
&#xe167;-什
&#xe17c;-使
&#xe1a1;-已
&#xe1b2;-发
&#xe1cf;-给
&#xe203;-她
&#xe215;-再
&#xe220;-老
&#xe238;-相
&#xe246;-更
&#xe265;-话
&#xe270;-些
&#xe2aa;-以
&#xe2b2;-而
&#xe2b6;-打
&#xe2da;-时
&#xe2e8;-这
&#xe2ec;-门
&#xe2ee;-就
&#xe2ff;-教
&#xe302;-是
&#xe30b;-两
&#xe314;-书
&#xe343;-西
&#xe355;-经
&#xe36a;-大
&#xe383;-那
&#xe384;-力
&#xe38e;-来
&#xe38f;-下
&#xe39a;-分
&#xe3ae;-无
&#xe3bd;-最
&#xe3d6;-的
&#xe3f3;-感
&#xe3f9;-先
&#xe40d;-儿
&#xe431;-现
&#xe437;-道
&#xe45d;-向
&#xe474;-在
&#xe481;-也
&#xe48f;-前
&#xe49c;-论
&#xe4c4;-于
&#xe4d1;-被
&#xe51d;-到
&#xe52a;-民
&#xe568;-能
&#xe56a;-国
&#xe575;-化
&#xe583;-名
&#xe58e;-但
&#xe5ca;-小
&#xe5cd;-他
&#xe5df;-意
&#xe627;-日
&#xe674;-身
&#xe693;-长
&#xe6ac;-知
&#xe6b7;-美
&#xe6bf;-点
&#xe6d2;-本
&#xe6d7;-都
&#xe6df;-三
&#xe6e1;-代
&#xe6f8;-成
&#xe70a;-作
&#xe716;-物
&#xe73b;-还
&#xe74f;-走
&#xe752;-起
&#xe790;-说
&#xe7b2;-十
&#xe7c4;-动
&#xe7d6;-出
&#xe802;-和
&#xe804;-法
&#xe810;-外
&#xe813;-心
&#xe81e;-事
&#xe82d;-个
&#xe82e;-可
&#xe830;-义
&#xe834;-多
&#xe83c;-特
&#xe843;-新
&#xe845;-学
&#xe84c;-笑
&#xe869;-思
&#xe86f;-眼
&#xe875;-情
&#xe882;-等
&#xe883;-为
&#xe8ad;-只
&#xe8af;-当
&#xe8d7;-却
&#xe8ec;-由
&#xe8f5;-里
&#xe909;-气
&#xe91d;-很
&#xe926;-它
&#xe950;-己
&#xe961;-愚
&#xe969;-对
&#xe9cb;-女
&#xe9db;-样
&#xe9ef;-自
&#xe9fb;-实
&#xea38;-写
&#xea47;-看
&#xea56;-着
&#xea64;-其
&#xea72;-从
&#xea86;-性
&#xea8d;-果
&#xea93;-不
&#xea95;-去
&#xeabe;-二
&#xeace;-用
&#xeaef;-你
&#xeaf7;-世
&#xeb04;-社
&#xeb2a;-明
&#xeb2d;-我
&#xeb3b;-中
&#xeb56;-并
&#xeb5b;-生
&#xeb9c;-口
&#xebb4;-头
&#xebde;-后
&#xebee;-然
&#xebf4;-此
&#xec0f;-子
&#xec22;-少
&#xec49;-要
&#xec57;-了
&#xec7e;-开
&#xec93;-又
&#xeca0;-没
&#xeca1;-全
&#xecbb;-人
&#xecd8;-会
&#xece0;-手
&#xece2;-者
&#xecea;-把
&#xecf7;-公
&#xecf8;-之
&#xecfe;-有
&#xed0c;-体
&#xed0f;-正
&#xed23;-何
&#xed53;-间
&#xed64;-们
&#xed6e;-关
&#xeda0;-白
&#xedae;-见
&#xedc2;-进
&#xedee;-与
&#xee02;-行
&#xee11;-因
&#xee24;-得
&#xee30;-主
&#xee4a;-地
&#xee51;-么
&#xee55;-过
&#xee5b;-死
&#xee5c;-种
&#xee61;-问
&#xee6c;-文
&#xee8d;-回
&#xee94;-四
&#xeebe;-真
&#xeed5;-方
&#xeef2;-太
&#xef11;-年
&#xef5e;-部
&#xef8b;-如
&#xefe0;-同
&#xefea;-天
&#xefef;-一
