&#xe00c;-四
&#xe00d;-明
&#xe01c;-起
&#xe02b;-什
&#xe062;-并
&#xe06e;-新
&#xe0e6;-都
&#xe0f5;-子
&#xe11b;-点
&#xe12f;-话
&#xe135;-手
&#xe137;-十
&#xe13a;-感
&#xe14a;-实
&#xe168;-用
&#xe174;-更
&#xe18c;-史
&#xe193;-但
&#xe1b1;-问
&#xe1c0;-来
&#xe1c8;-成
&#xe1dd;-有
&#xe1e9;-开
&#xe1eb;-才
&#xe1f6;-眼
&#xe1fd;-还
&#xe237;-没
&#xe249;-的
&#xe25e;-外
&#xe270;-同
&#xe2a1;-再
&#xe2bb;-时
&#xe2c1;-使
&#xe2d2;-声
&#xe2d9;-为
&#xe2e3;-现
&#xe2f5;-理
&#xe2f9;-相
&#xe30b;-思
&#xe319;-于
&#xe325;-民
&#xe37d;-老
&#xe3a6;-们
&#xe3d5;-分
&#xe3d6;-给
&#xe3dc;-以
&#xe3fb;-自
&#xe409;-国
&#xe40f;-他
&#xe419;-而
&#xe42e;-教
&#xe434;-书
&#xe45b;-道
&#xe45e;-特
&#xe472;-日
&#xe488;-走
&#xe48f;-白
&#xe4d3;-心
&#xe4d6;-天
&#xe4e8;-笑
&#xe50c;-却
&#xe510;-太
&#xe51b;-真
&#xe541;-等
&#xe542;-在
&#xe599;-所
&#xe59c;-过
&#xe5a2;-义
&#xe611;-几
&#xe612;-么
&#xe614;-面
&#xe636;-可
&#xe64c;-见
&#xe65e;-进
&#xe661;-如
&#xe663;-别
&#xe689;-知
&#xe690;-便
&#xe69d;-然
&#xe6a1;-说
&#xe6bf;-愚
&#xe6df;-能
&#xe70d;-当
&#xe710;-种
&#xe729;-无
&#xe755;-里
&#xe7a5;-己
&#xe7ae;-从
&#xe7b6;-事
&#xe7da;-女
&#xe7e1;-西
&#xe7f1;-正
&#xe80a;-意
&#xe81b;-气
&#xe864;-后
&#xe897;-美
&#xe8a4;-地
&#xe8df;-去
&#xe8e4;-写
&#xe8e8;-体
&#xe927;-它
&#xe929;-向
&#xe92e;-重
&#xe931;-与
&#xe956;-社
&#xe95e;-她
&#xe982;-头
&#xe992;-物
&#xe993;-第
&#xe995;-之
&#xe9a2;-情
&#xe9cc;-本
&#xe9d4;-化
&#xe9dd;-二
&#xe9f3;-先
&#xe9f6;-由
&#xea35;-会
&#xea4c;-长
&#xea54;-个
&#xea6b;-两
&#xea79;-打
&#xeab5;-力
&#xeabb;-对
&#xeac9;-高
&#xeaca;-全
&#xeaf0;-上
&#xeb19;-这
&#xeb28;-要
&#xeb33;-名
&#xeb3c;-不
&#xeb45;-下
&#xeb4b;-出
&#xeb4e;-身
&#xeb52;-回
&#xeb59;-定
&#xeb82;-文
&#xeb88;-把
&#xeb91;-那
&#xeb9d;-生
&#xeba9;-主
&#xebad;-好
&#xebaf;-性
&#xebc4;-三
&#xebd1;-代
&#xebd3;-论
&#xebd9;-作
&#xebe4;-些
&#xec04;-前
&#xec53;-死
&#xec5b;-了
&#xec60;-者
&#xec90;-就
&#xec96;-门
&#xec97;-也
&#xecac;-行
&#xecb5;-发
&#xecca;-少
&#xeccc;-着
&#xecd8;-人
&#xecdf;-和
&#xecee;-你
&#xecf9;-已
&#xed16;-方
&#xed1d;-因
&#xed25;-其
&#xed26;-法
&#xed54;-年
&#xed59;-果
&#xed78;-大
&#xed7e;-间
&#xed8e;-很
&#xed94;-看
&#xedb5;-儿
&#xee05;-被
&#xee23;-样
&#xee46;-又
&#xee4c;-公
&#xee77;-神
&#xee78;-一
&#xee80;-经
&#xee93;-家
&#xee9e;-何
&#xeea6;-我
&#xeec1;-此
&#xeed6;-得
&#xeef2;-学
&#xef02;-口
&#xef1a;-部
&#xef26;-世
&#xef53;-是
&#xef59;-到
&#xef6f;-小
&#xef72;-动
&#xef74;-将
&#xef76;-多
&#xef7d;-最
&#xef80;-中
&#xef82;-关
&#xef83;-听
&#xef8b;-只
