&#xe00e;-了
&#xe018;-小
&#xe03a;-教
&#xe03c;-将
&#xe070;-代
&#xe08f;-问
&#xe091;-气
&#xe0a4;-国
&#xe0f9;-来
&#xe10b;-笑
&#xe119;-眼
&#xe127;-女
&#xe12d;-给
&#xe136;-方
&#xe152;-去
&#xe160;-之
&#xe172;-文
&#xe179;-又
&#xe19d;-口
&#xe19f;-三
&#xe1d9;-都
&#xe1ea;-大
&#xe1eb;-进
&#xe201;-然
&#xe202;-己
&#xe214;-关
&#xe229;-便
&#xe230;-学
&#xe234;-特
&#xe238;-这
&#xe267;-并
&#xe274;-高
&#xe275;-实
&#xe278;-四
&#xe27f;-好
&#xe283;-于
&#xe287;-在
&#xe28f;-人
&#xe296;-意
&#xe2bf;-全
&#xe2d4;-你
&#xe345;-从
&#xe347;-二
&#xe34a;-以
&#xe34d;-白
&#xe393;-就
&#xe3aa;-书
&#xe3b7;-经
&#xe3b9;-点
&#xe3bd;-此
&#xe3be;-现
&#xe3c9;-得
&#xe3ea;-道
&#xe3f6;-个
&#xe413;-日
&#xe425;-者
&#xe42f;-不
&#xe433;-民
&#xe43f;-子
&#xe46b;-但
&#xe475;-情
&#xe491;-门
&#xe4ad;-何
&#xe4b5;-没
&#xe4c0;-史
&#xe4c8;-那
&#xe4ea;-前
&#xe4f1;-已
&#xe502;-很
&#xe532;-分
&#xe53a;-后
&#xe561;-定
&#xe575;-法
&#xe5a9;-它
&#xe5c3;-太
&#xe5d6;-心
&#xe611;-动
&#xe617;-长
&#xe618;-可
&#xe619;-自
&#xe637;-年
&#xe639;-同
&#xe657;-她
&#xe665;-多
&#xe66a;-社
&#xe6a1;-样
&#xe6ac;-却
&#xe6c2;-他
&#xe6c3;-部
&#xe6c6;-如
&#xe6c8;-发
&#xe6cd;-西
&#xe6db;-再
&#xe6e0;-时
&#xe6e2;-十
&#xe6fb;-公
&#xe6ff;-正
&#xe70a;-而
&#xe70f;-儿
&#xe731;-生
&#xe783;-到
&#xe787;-什
&#xe79c;-我
&#xe7bb;-是
&#xe7c2;-才
&#xe7cd;-主
&#xe7dd;-本
&#xe807;-过
&#xe80c;-身
&#xe859;-地
&#xe861;-重
&#xe87f;-见
&#xe8a8;-所
&#xe8ae;-其
&#xe8d0;-面
&#xe8e8;-种
&#xe8e9;-回
&#xe8ea;-开
&#xe8fd;-家
&#xe912;-中
&#xe922;-上
&#xe92d;-神
&#xe938;-力
&#xe991;-们
&#xe9ae;-论
&#xe9af;-说
&#xe9bc;-一
&#xe9cb;-下
&#xe9d0;-要
&#xe9d2;-向
&#xe9ef;-么
&#xe9f2;-老
&#xea10;-愚
&#xea12;-更
&#xea15;-由
&#xea18;-会
&#xea1d;-无
&#xea2a;-第
&#xea4d;-为
&#xea5b;-知
&#xea70;-被
&#xea88;-把
&#xeac7;-理
&#xeacf;-打
&#xeaf3;-先
&#xeb45;-真
&#xeb49;-走
&#xeb68;-外
&#xeb77;-果
&#xeb79;-几
&#xebc1;-有
&#xebce;-里
&#xebd7;-使
&#xebea;-天
&#xebef;-两
&#xebfd;-出
&#xec04;-义
&#xec14;-作
&#xec1d;-最
&#xec20;-别
&#xec58;-用
&#xec5d;-着
&#xec63;-思
&#xec6e;-起
&#xec89;-与
&#xec8f;-还
&#xeca3;-只
&#xeca5;-和
&#xecc8;-能
&#xece0;-头
&#xece7;-新
&#xecff;-听
&#xed14;-的
&#xed28;-感
&#xed44;-声
&#xed54;-也
&#xed76;-物
&#xed7c;-因
&#xed7d;-明
&#xedae;-等
&#xedb4;-少
&#xede7;-成
&#xee27;-些
&#xee2f;-相
&#xee42;-当
&#xee4b;-手
&#xee97;-间
&#xeefd;-看
&#xeefe;-名
&#xef01;-事
&#xef02;-写
&#xef06;-话
&#xef3e;-对
&#xefa2;-化
&#xefa9;-体
&#xefac;-性
&#xefb6;-美
&#xefc2;-死
&#xefd0;-世
&#xefe2;-行
