&#xE6AD;-美
&#xEC13;-现
&#xE1CB;-死
&#xEB9F;-成
&#xEAC2;-起
&#xECD5;-情
&#xE86C;-是
&#xE063;-西
&#xE6BD;-重
&#xE309;-知
&#xEDC7;-样
&#xE0D2;-特
&#xE5AB;-得
&#xE64D;-自
&#xECD1;-神
&#xE847;-意
&#xEED8;-里
&#xE8C8;-她
&#xE17B;-便
&#xED70;-笑
&#xE7E4;-两
&#xE058;-几
&#xE26B;-都
&#xEB3D;-本
&#xE088;-新
&#xE9A9;-一
&#xECF1;-无
&#xE6DD;-来
&#xE664;-身
&#xEE76;-什
&#xEB8D;-更
&#xE153;-还
&#xE13A;-与
&#xEA80;-到
&#xE36F;-分
&#xEE52;-气
&#xE349;-前
&#xEE80;-部
&#xEA39;-公
&#xE114;-论
&#xEE29;-向
&#xEDC1;-了
&#xE70F;-这
&#xE013;-国
&#xE8B8;-行
&#xED0C;-下
&#xE36A;-没
&#xE35C;-三
&#xEE70;-实
&#xE8D4;-很
&#xE197;-关
&#xE820;-果
&#xED2F;-年
&#xE748;-后
&#xED71;-个
&#xE386;-会
&#xECC4;-性
&#xE5F0;-等
&#xEF35;-日
&#xE212;-书
&#xE9D8;-发
&#xE3CA;-才
&#xE96F;-面
&#xE56E;-其
&#xE7C2;-门
&#xE890;-如
&#xE96D;-道
&#xE9F6;-从
&#xEA7E;-可
&#xE47B;-天
&#xEAB7;-女
&#xEC0E;-开
&#xEE54;-高
&#xEA73;-感
&#xED8D;-体
&#xEB48;-在
&#xE31F;-因
&#xE621;-要
&#xE594;-生
&#xE843;-有
&#xE304;-却
&#xE325;-世
&#xEDE3;-只
&#xE08B;-子
&#xEC67;-对
&#xE8BC;-就
&#xE8E6;-话
&#xE5FA;-着
&#xE811;-太
&#xE6EC;-方
&#xE21F;-社
&#xEE03;-点
&#xEBE7;-正
&#xE7A5;-理
&#xE409;-能
&#xE844;-法
&#xE126;-此
&#xE428;-去
&#xEF9C;-义
&#xEC40;-明
&#xEBC2;-物
&#xEEF7;-问
&#xEFD7;-心
&#xE0D7;-思
&#xEEA2;-作
&#xE7AE;-所
&#xEC84;-民
&#xE4F4;-们
&#xEFFD;-大
&#xEF21;-老
&#xEBB3;-四
&#xEB66;-并
&#xEBB5;-写
&#xE199;-间
&#xEDB8;-把
&#xE81A;-真
&#xE1FF;-家
&#xE336;-手
&#xED09;-你
&#xE868;-全
&#xEF33;-之
&#xE88C;-先
&#xE7B6;-小
&#xEA75;-将
&#xE047;-人
&#xE352;-再
&#xECD4;-上
&#xE07A;-不
&#xEE11;-名
&#xED9B;-十
&#xEB58;-同
&#xEA29;-也
&#xE951;-说
&#xEA2A;-然
&#xE2AF;-给
&#xE5BD;-由
&#xE157;-代
&#xEED0;-它
&#xE50A;-二
&#xE186;-那
&#xE83D;-第
&#xE2B6;-而
&#xED5A;-定
&#xE46A;-眼
&#xEA4F;-使
&#xE511;-多
&#xEBEA;-好
&#xE471;-长
&#xEF48;-但
&#xE3BF;-者
&#xEB73;-于
&#xEE7C;-么
&#xED47;-教
&#xEEF2;-想
&#xE9A2;-相
&#xE667;-看
&#xE3F7;-别
&#xE425;-见
&#xEF41;-最
&#xEF3E;-学
&#xE22F;-他
&#xE9ED;-中
&#xE6D1;-地
&#xEA84;-种
&#xEECF;-用
&#xE8DB;-头
&#xEC89;-少
&#xE55E;-何
&#xE739;-打
&#xEFCF;-走
&#xE98D;-我
&#xED27;-听
&#xEE27;-口
&#xEE08;-为
&#xEA5E;-出
&#xE8C4;-白
&#xEC27;-进
&#xE5BE;-化
&#xE10A;-当
&#xE760;-儿
&#xE0EA;-声
&#xE2D0;-外
&#xE041;-主
&#xE9E8;-事
&#xE1CF;-动
&#xE115;-以
&#xE2F6;-些
&#xE921;-己
&#xE58D;-文
&#xEE12;-过
&#xE44D;-经
&#xE30B;-和
&#xEFEB;-力
&#xEDF6;-的
&#xE056;-被
&#xE3F0;-又
&#xE4D6;-已
&#xE556;-回
&#xED3F;-时
&#xE23C;-史
