&#xe00a;-不
&#xe018;-最
&#xe01f;-眼
&#xe033;-性
&#xe059;-但
&#xe064;-然
&#xe0a8;-经
&#xe0af;-么
&#xe0b2;-何
&#xe0b5;-民
&#xe0bf;-中
&#xe0d1;-方
&#xe0dc;-被
&#xe111;-美
&#xe124;-问
&#xe141;-人
&#xe160;-都
&#xe16a;-没
&#xe16d;-之
&#xe19f;-公
&#xe1ae;-年
&#xe1b0;-道
&#xe1c5;-只
&#xe1cf;-特
&#xe1d0;-当
&#xe1d2;-少
&#xe1de;-代
&#xe1f1;-国
&#xe21d;-外
&#xe21f;-气
&#xe223;-点
&#xe22f;-情
&#xe26c;-听
&#xe287;-论
&#xe298;-先
&#xe2a4;-理
&#xe2ab;-和
&#xe2b2;-义
&#xe2f1;-向
&#xe2f7;-前
&#xe333;-见
&#xe33c;-将
&#xe33f;-地
&#xe346;-意
&#xe37b;-它
&#xe380;-如
&#xe392;-学
&#xe3c3;-关
&#xe400;-心
&#xe409;-笑
&#xe411;-所
&#xe414;-史
&#xe417;-二
&#xe419;-一
&#xe437;-大
&#xe439;-写
&#xe43a;-打
&#xe44c;-多
&#xe45b;-思
&#xe45f;-别
&#xe462;-身
&#xe481;-世
&#xe494;-在
&#xe4a1;-知
&#xe4ac;-好
&#xe4d4;-物
&#xe4df;-来
&#xe506;-儿
&#xe515;-过
&#xe51b;-到
&#xe53b;-与
&#xe54c;-于
&#xe55c;-才
&#xe572;-同
&#xe581;-我
&#xe583;-面
&#xe58a;-样
&#xe593;-几
&#xe595;-其
&#xe5ae;-从
&#xe5c7;-他
&#xe5cd;-你
&#xe5de;-主
&#xe5ec;-第
&#xe602;-女
&#xe61e;-者
&#xe65b;-子
&#xe679;-并
&#xe68b;-便
&#xe6a3;-还
&#xe6c6;-说
&#xe6d9;-给
&#xe6de;-声
&#xe6ff;-神
&#xe723;-己
&#xe736;-了
&#xe738;-这
&#xe745;-老
&#xe754;-门
&#xe775;-长
&#xe780;-就
&#xe791;-个
&#xe798;-去
&#xe7a0;-全
&#xe7a5;-四
&#xe7ab;-果
&#xe7bb;-也
&#xe7c0;-着
&#xe7e2;-以
&#xe7eb;-定
&#xe80f;-正
&#xe829;-起
&#xe82e;-话
&#xe83a;-等
&#xe846;-回
&#xe85f;-得
&#xe860;-文
&#xe86e;-此
&#xe8e4;-教
&#xe8ea;-手
&#xe8ff;-日
&#xe91d;-法
&#xe923;-要
&#xe927;-里
&#xe938;-作
&#xe939;-是
&#xe942;-现
&#xe95d;-生
&#xe964;-上
&#xe984;-看
&#xe995;-走
&#xe99a;-时
&#xe9a1;-天
&#xe9c4;-分
&#xe9cc;-书
&#xe9db;-愚
&#xe9e4;-间
&#xe9f4;-白
&#xea2a;-她
&#xea2b;-重
&#xea41;-种
&#xea54;-无
&#xea8e;-动
&#xeaa8;-而
&#xeaab;-事
&#xeaac;-会
&#xeab9;-小
&#xeb06;-社
&#xeb09;-两
&#xeb29;-死
&#xeb40;-那
&#xeb57;-下
&#xeb6c;-又
&#xeb87;-却
&#xebe0;-因
&#xec12;-对
&#xec21;-化
&#xec27;-行
&#xec59;-家
&#xec61;-可
&#xec67;-的
&#xec7a;-些
&#xec80;-本
&#xec86;-部
&#xec8d;-有
&#xec90;-用
&#xecb4;-名
&#xecfe;-已
&#xed2e;-十
&#xed38;-什
&#xed3b;-头
&#xed3c;-太
&#xed51;-自
&#xed6f;-为
&#xed82;-进
&#xed88;-很
&#xed90;-相
&#xedba;-开
&#xedc0;-体
&#xee14;-高
&#xee4c;-力
&#xee57;-再
&#xee64;-使
&#xee6f;-实
&#xeeba;-由
&#xeebc;-三
&#xeebd;-成
&#xeed0;-新
&#xeee7;-后
&#xef26;-明
&#xef36;-真
&#xef59;-感
&#xef64;-更
&#xef7c;-发
&#xef7d;-口
&#xef87;-们
&#xef97;-把
&#xef99;-西
&#xefdc;-能
&#xefe8;-出
