&#xe03c;-教
&#xe065;-大
&#xe070;-不
&#xe0ae;-分
&#xe0b0;-下
&#xe0cb;-笑
&#xe0d0;-理
&#xe0d5;-地
&#xe10c;-天
&#xe130;-小
&#xe136;-主
&#xe140;-两
&#xe14d;-二
&#xe14e;-便
&#xe15f;-那
&#xe16b;-前
&#xe16f;-别
&#xe171;-气
&#xe17c;-化
&#xe1b2;-儿
&#xe1ba;-特
&#xe1c2;-四
&#xe1db;-少
&#xe1de;-上
&#xe1e1;-和
&#xe1e4;-门
&#xe1ea;-三
&#xe1ef;-由
&#xe21c;-此
&#xe244;-白
&#xe25a;-将
&#xe26c;-史
&#xe299;-思
&#xe29a;-种
&#xe2a6;-体
&#xe2a9;-说
&#xe2ac;-有
&#xe2b9;-而
&#xe2d6;-因
&#xe2ef;-名
&#xe304;-义
&#xe327;-都
&#xe33b;-了
&#xe36d;-到
&#xe376;-行
&#xe380;-作
&#xe382;-经
&#xe3a9;-头
&#xe3aa;-后
&#xe3d5;-高
&#xe3e0;-等
&#xe3f4;-实
&#xe410;-自
&#xe432;-社
&#xe433;-意
&#xe439;-第
&#xe446;-声
&#xe471;-老
&#xe489;-神
&#xe49d;-但
&#xe4c3;-民
&#xe4e2;-对
&#xe4e6;-子
&#xe4ef;-要
&#xe506;-几
&#xe50e;-打
&#xe510;-生
&#xe538;-西
&#xe545;-十
&#xe553;-身
&#xe555;-进
&#xe566;-被
&#xe56f;-它
&#xe57e;-本
&#xe592;-间
&#xe5b4;-人
&#xe5b8;-动
&#xe5dd;-得
&#xe5e1;-来
&#xe5fa;-多
&#xe5fd;-代
&#xe628;-在
&#xe63a;-会
&#xe650;-想
&#xe65d;-问
&#xe66d;-所
&#xe679;-世
&#xe686;-只
&#xe6a9;-使
&#xe6c1;-么
&#xe6ce;-美
&#xe6db;-己
&#xe6e8;-日
&#xe6ee;-里
&#xe717;-现
&#xe73a;-着
&#xe746;-公
&#xe74c;-见
&#xe759;-以
&#xe762;-过
&#xe76a;-关
&#xe793;-向
&#xe79e;-再
&#xe7ca;-发
&#xe7cc;-法
&#xe7ed;-国
&#xe804;-物
&#xe80e;-先
&#xe80f;-学
&#xe836;-给
&#xe852;-同
&#xe856;-看
&#xe863;-我
&#xe864;-的
&#xe874;-何
&#xe8ad;-部
&#xe8b4;-最
&#xe8cd;-方
&#xe8ea;-可
&#xe946;-写
&#xe94a;-果
&#xe95e;-是
&#xe978;-者
&#xe982;-眼
&#xe99b;-去
&#xe9c5;-没
&#xe9cc;-却
&#xe9d0;-走
&#xe9fa;-她
&#xea26;-书
&#xea37;-其
&#xea5b;-些
&#xea66;-全
&#xea6e;-定
&#xea76;-死
&#xea8b;-样
&#xea95;-然
&#xeaa4;-面
&#xeac0;-才
&#xead0;-于
&#xeada;-新
&#xeaf2;-你
&#xeaf9;-很
&#xeb0b;-感
&#xeb2f;-把
&#xeb4a;-当
&#xeb4b;-为
&#xeb5e;-之
&#xeb72;-心
&#xeb80;-已
&#xeb97;-正
&#xeba4;-出
&#xeba7;-文
&#xebab;-他
&#xebd8;-无
&#xebee;-手
&#xec07;-就
&#xec1a;-知
&#xec1d;-重
&#xec25;-一
&#xec64;-时
&#xec9c;-事
&#xecbf;-用
&#xecd9;-力
&#xed04;-这
&#xed22;-年
&#xed28;-与
&#xed2e;-听
&#xed33;-话
&#xed6b;-点
&#xed96;-成
&#xed9b;-中
&#xedaf;-真
&#xedb3;-还
&#xedb4;-长
&#xedb6;-明
&#xedbd;-论
&#xeddf;-好
&#xede9;-个
&#xedfb;-并
&#xee19;-外
&#xee22;-道
&#xee2e;-相
&#xee2f;-家
&#xee7d;-回
&#xee84;-情
&#xee86;-也
&#xeebb;-们
&#xeeea;-性
&#xef07;-又
&#xef10;-更
&#xef25;-开
&#xef26;-女
&#xef3c;-起
&#xef41;-从
&#xef4b;-口
&#xefc7;-能
&#xefd9;-太
&#xefe5;-如
&#xeff4;-什
